cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr7B	34838	154814815	Chr7B	51212	159705725	1248	0.9996858974358975
Chr7B	295082068	296338725	Chr7B	308378141	309739949	3	1.0
Chr7B	310413787	312442469	Chr7B	322412525	324289533	5	1.0
Chr7B	337929275	339223535	Chr7B	350416715	351620826	3	1.0
Chr7B	357994137	389109218	Chr7B	368657253	404973150	135	1.0
Chr7B	391956637	405970176	Chr7B	407825259	422688914	52	0.9996730769230768
Chr7B	408568404	419042240	Chr7B	425265520	436200894	45	1.0
Chr7B	421064524	541167218	Chr7B	438191854	561141549	781	0.9992791293213829
Chr7B	543188151	736138668	Chr7B	563137478	769319061	1693	0.9996698168930891
Chr7B	738144856	739444049	Chr7B	771306118	772641716	4	1.0
Chr7B	742555394	742590334	Chr7B	776010901	776046506	3	1.0
Chr7B	746971117	750609249	Chr7B	776714726	780664725	63	1.0
