cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr4A	82701	130504034	Chr4A	95942	129992426	1059	0.9996723323890463
Chr4A	132701921	192628546	Chr4A	132178706	191928523	262	0.999969465648855
Chr4A	195313531	220022826	Chr4A	194590224	219178311	45	0.9981555555555556
Chr4A	222107768	222562036	Chr4A	221251388	221695712	3	1.0
Chr4A	225313869	227091476	Chr4A	224418072	226178829	4	1.0
Chr4A	229493172	242884659	Chr4A	228601855	241903795	21	1.0
Chr4A	245258976	246711649	Chr4A	244260118	253743713	9	1.0
Chr4A	248831802	263897149	Chr4A	255872393	270774896	21	0.9997142857142857
Chr4A	317080714	319832516	Chr4A	324503762	327231304	3	1.0
Chr4A	329170186	334268011	Chr4A	328849153	334042667	6	1.0
Chr4A	338745706	350244063	Chr4A	338520949	349779004	23	1.0
Chr4A	352270324	353874280	Chr4A	351861606	353454898	4	1.0
Chr4A	356554191	359638234	Chr4A	356110269	359166506	6	1.0
Chr4A	362089683	365639149	Chr4A	361596895	365119365	5	1.0
Chr4A	373805571	387104269	Chr4A	374981469	388187261	15	1.0
Chr4A	389242085	390892975	Chr4A	390311801	391935456	3	1.0
Chr4A	395027325	398506001	Chr4A	396024496	399468800	6	1.0
Chr4A	400757887	401303656	Chr4A	401703129	402243123	3	1.0
Chr4A	407610912	420517232	Chr4A	408477646	421428710	17	1.0
Chr4A	422761993	508494353	Chr4A	423652877	509103286	417	0.9997482014388489
Chr4A	510639254	744211383	Chr4A	511214117	764264542	2768	0.9996101878612718
