cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr3B	6945637	7075384	Chr3B	13722788	13851931	7	1.0
Chr3B	12142547	12181099	Chr3B	18729473	18768033	3	1.0
Chr3B	14525280	85340142	Chr3B	21286117	103243907	793	0.9997074401008827
Chr3B	87718232	191189469	Chr3B	105614112	209182844	617	0.9997341977309563
Chr3B	193609697	195100861	Chr3B	211578592	213057241	11	1.0
Chr3B	197792489	207735313	Chr3B	215723326	225577730	75	0.9975199999999999
Chr3B	212297313	215613173	Chr3B	230101966	233393474	13	1.0
Chr3B	219342949	230195021	Chr3B	237101637	247874430	55	1.0
Chr3B	235855911	277099960	Chr3B	253456526	294713844	199	0.9999798994974874
Chr3B	283596077	284678121	Chr3B	301268572	302345403	4	0.995
Chr3B	289595308	296187942	Chr3B	307393371	313980056	9	1.0
Chr3B	299132814	317625373	Chr3B	316942731	336410436	24	1.0
Chr3B	322293448	338599491	Chr3B	341029402	357884143	24	1.0
Chr3B	340796436	356211822	Chr3B	360065790	379663392	27	0.9991481481481481
Chr3B	368543043	467052960	Chr3B	393699001	495399998	531	0.9993747645951035
Chr3B	469640104	516001137	Chr3B	497962218	544480790	269	0.9997397769516729
Chr3B	518913010	822217332	Chr3B	549301132	864247816	2722	0.99963005143277
Chr3B	825712161	830611341	Chr3B	864613887	870043387	63	0.9985238095238095
