cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr5B	2561439	2884239	Chr5B	3630481	3951582	6	1.0
Chr5B	3449499	4061276	Chr5B	2440810	3049954	7	1.0
Chr5B	4549237	5072165	Chr5B	5360806	6031612	9	1.0
Chr5B	18796	1579566	Chr5B	9653782	10784968	11	1.0
Chr5B	6219225	149330732	Chr5B	12111145	164449370	1013	0.9995686080947681
Chr5B	152509380	167292122	Chr5B	166842942	186281705	26	1.0
Chr5B	170601200	194187169	Chr5B	189229105	213876895	35	0.9972285714285714
Chr5B	196237920	198419112	Chr5B	216634585	218780448	7	1.0
Chr5B	201287121	236283952	Chr5B	225577461	261968097	124	0.9996774193548388
Chr5B	238316269	257532817	Chr5B	263980453	283083016	80	1.0
Chr5B	259539413	341562322	Chr5B	285056919	367859814	508	0.9999133858267717
Chr5B	343826709	700236718	Chr5B	370082178	732902211	3470	0.9997682997118156
Chr5B	704074687	713118452	Chr5B	733565361	742771241	188	0.9999893617021276
Chr5B	700333219	703858476	Chr5B	722309610	725792921	64	1.0
