gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS2A02G015500	Chr2A	6301749	6302297	-	6302023	Chr2A	4067466	4068014	-	4067740	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G015600	Chr2A	6495746	6498505	-	6497125	Chr2A	4257842	4260601	-	4259221	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G015700	Chr2A	6509474	6511605	+	6510539	Chr2A	4271877	4274008	+	4272942	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G015800	Chr2A	6997999	7000883	+	6999441	Chr2A	4759548	4762432	+	4760990	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G015900	Chr2A	7226397	7227930	+	7227163	Chr2A	4985322	4986855	+	4986088	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G240400	Chr2A	335804503	335804874	-	335804688	Chr2A	337802052	337802423	+	337802237	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G240600	Chr2A	335819071	335819310	-	335819190	Chr2A	337787822	337788061	+	337787941	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G240500	Chr2A	335818512	335823693	+	335821102	Chr2A	337783439	337788620	-	337786029	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G240700	Chr2A	335821235	335821606	-	335821420	Chr2A	337785526	337785897	+	337785711	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G240800	Chr2A	335825182	335825301	-	335825241	Chr2A	337781831	337781950	+	337781890	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G240900	Chr2A	335825312	335825562	-	335825437	Chr2A	337781570	337781820	+	337781695	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241000	Chr2A	335826549	335826670	-	335826609	Chr2A	337780462	337780583	+	337780522	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241100	Chr2A	335826693	335826806	+	335826749	Chr2A	337780326	337780439	-	337780382	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241200	Chr2A	335826985	335827098	+	335827041	Chr2A	337780034	337780147	-	337780090	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241300	Chr2A	335828438	335828914	-	335828676	Chr2A	337778218	337778694	+	337778456	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241400	Chr2A	335829027	335829419	-	335829223	Chr2A	337777713	337778105	+	337777909	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241500	Chr2A	335829496	335829711	-	335829603	Chr2A	337777421	337777636	+	337777528	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241600	Chr2A	335830275	335830468	-	335830371	Chr2A	337776664	337776857	+	337776760	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241700	Chr2A	335831613	335832664	+	335832138	Chr2A	337774468	337775519	-	337774993	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241800	Chr2A	335837242	335837457	-	335837349	Chr2A	337769675	337769890	+	337769782	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241900	Chr2A	335837772	335838269	-	335838020	Chr2A	337768863	337769360	+	337769111	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G242000	Chr2A	335837878	335838978	+	335838428	Chr2A	337768154	337769254	-	337768704	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G242100	Chr2A	335839117	335839278	+	335839197	Chr2A	337767854	337768015	-	337767934	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G242200	Chr2A	335843890	335844066	-	335843978	Chr2A	337763066	337763242	+	337763154	1.0	1.0	rearrangement:Chr2A_block2
