gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS2B02G000100	Chr2B	9843	11553	-	10698	Chr2B	3419866	3421576	-	3420721	1.0	1.0	collinear
gene:TraesCS2B02G000200	Chr2B	19907	22569	+	21238	Chr2B	3429930	3432592	+	3431261	1.0	1.0	collinear
gene:TraesCS2B02G000300	Chr2B	45037	61255	-	53146	Chr2B	3454831	3470373	-	3462602	0.996	0.996	collinear
gene:TraesCS2B02G000400	Chr2B	63870	65572	+	64721	Chr2B	3472979	3474681	+	3473830	1.0	1.0	collinear
gene:TraesCS2B02G000500	Chr2B	91679	92119	+	91899	Chr2B	3500788	3501228	+	3501008	1.0	1.0	collinear
gene:TraesCS2B02G000600	Chr2B	303826	305394	-	304610	Chr2B	3380116	3381684	+	3380900	1.0	1.0	collinear
gene:TraesCS2B02G000700	Chr2B	317841	319502	-	318671	Chr2B	3366376	3368037	+	3367206	1.0	1.0	collinear
gene:TraesCS2B02G001400	Chr2B	1171680	1174401	+	1173040	Chr2B	12057542	12060263	+	12058902	1.0	1.0	collinear
gene:TraesCS2B02G001500	Chr2B	1181154	1181702	+	1181428	Chr2B	12067016	12067564	+	12067290	1.0	1.0	collinear
gene:TraesCS2B02G001600	Chr2B	1248784	1252232	+	1250508	Chr2B	12135540	12138988	+	12137264	1.0	1.0	collinear
gene:TraesCS2B02G001800	Chr2B	1265344	1272505	+	1268924	Chr2B	12151567	12158728	+	12155147	1.0	1.0	collinear
gene:TraesCS2B02G001700	Chr2B	1265079	1308155	-	1286617	Chr2B	12151302	12194295	-	12172798	1.0	1.0	collinear
gene:TraesCS2B02G002500	Chr2B	1519250	1522569	+	1520909	Chr2B	14491492	14494811	-	14493151	1.0	1.0	collinear
gene:TraesCS2B02G002600	Chr2B	1600469	1601449	-	1600959	Chr2B	14413303	14414283	+	14413793	1.0	1.0	collinear
gene:TraesCS2B02G002700	Chr2B	1706362	1707167	+	1706764	Chr2B	14308027	14308832	-	14308429	1.0	1.0	collinear
gene:TraesCS2B02G002800	Chr2B	1749669	1750706	+	1750187	Chr2B	14264980	14266017	-	14265498	1.0	1.0	collinear
gene:TraesCS2B02G002900	Chr2B	1752952	1755256	+	1754104	Chr2B	14260509	14262813	-	14261661	1.0	1.0	collinear
gene:TraesCS2B02G003000	Chr2B	1758044	1759657	-	1758850	Chr2B	14256108	14257721	+	14256914	1.0	1.0	collinear
gene:TraesCS2B02G003100	Chr2B	1764833	1765869	+	1765351	Chr2B	14249896	14250932	-	14250414	1.0	1.0	collinear
gene:TraesCS2B02G003200	Chr2B	1768192	1770540	+	1769366	Chr2B	14245170	14247410	-	14246290	0.937	0.937	collinear
gene:TraesCS2B02G003300	Chr2B	1773308	1774960	-	1774134	Chr2B	14240750	14242402	+	14241576	1.0	1.0	collinear
gene:TraesCS2B02G003400	Chr2B	1792604	1794942	+	1793773	Chr2B	14221215	14223553	-	14222384	1.0	1.0	collinear
gene:TraesCS2B02G003500	Chr2B	1798618	1800227	-	1799422	Chr2B	14215930	14217539	+	14216734	1.0	1.0	collinear
gene:TraesCS2B02G003600	Chr2B	1831881	1833776	+	1832828	Chr2B	14174967	14176862	-	14175914	1.0	1.0	collinear
gene:TraesCS2B02G003700	Chr2B	2086946	2088978	+	2087962	Chr2B	13901931	13903963	-	13902947	1.0	1.0	collinear
gene:TraesCS2B02G003800	Chr2B	2089831	2091638	+	2090734	Chr2B	13899271	13901078	-	13900174	1.0	1.0	collinear
gene:TraesCS2B02G003900	Chr2B	2107170	2108718	+	2107944	Chr2B	13836428	13837976	-	13837202	1.0	1.0	collinear
gene:TraesCS2B02G004000	Chr2B	2109410	2113388	-	2111399	Chr2B	13831758	13835736	+	13833747	1.0	1.0	collinear
gene:TraesCS2B02G004100	Chr2B	2116046	2116633	+	2116339	Chr2B	13828513	13829100	-	13828806	1.0	1.0	collinear
gene:TraesCS2B02G004200	Chr2B	2235456	2238338	+	2236897	Chr2B	13707069	13709951	-	13708510	1.0	1.0	collinear
gene:TraesCS2B02G004300	Chr2B	2335787	2336388	+	2336087	Chr2B	13610629	13611230	-	13610929	1.0	1.0	collinear
gene:TraesCS2B02G004400	Chr2B	2344368	2347989	-	2346178	Chr2B	13599028	13602649	+	13600838	1.0	1.0	collinear
gene:TraesCS2B02G004500	Chr2B	2404235	2407537	-	2405886	Chr2B	13483807	13487109	+	13485458	1.0	1.0	collinear
gene:TraesCS2B02G004600	Chr2B	2501390	2503974	-	2502682	Chr2B	13390403	13392987	+	13391695	1.0	1.0	collinear
gene:TraesCS2B02G004700	Chr2B	2525898	2529167	-	2527532	Chr2B	13366640	13369909	+	13368274	1.0	1.0	collinear
gene:TraesCS2B02G004800	Chr2B	2566039	2566626	-	2566332	Chr2B	13329001	13329588	+	13329294	1.0	1.0	collinear
gene:TraesCS2B02G004900	Chr2B	2639862	2643225	-	2641543	Chr2B	13254038	13257401	+	13255719	1.0	1.0	collinear
gene:TraesCS2B02G005000	Chr2B	3288581	3293090	+	3290835	Chr2B	12612799	12617308	-	12615053	1.0	1.0	collinear
gene:TraesCS2B02G005100	Chr2B	3299928	3306836	-	3303382	Chr2B	12599253	12605961	+	12602607	1.0	1.0	collinear
gene:TraesCS2B02G005200	Chr2B	3307435	3312813	-	3310124	Chr2B	12593453	12598831	+	12596142	1.0	1.0	collinear
gene:TraesCS2B02G005300	Chr2B	3397884	3406507	+	3402195	Chr2B	12499928	12508551	-	12504239	1.0	1.0	collinear
gene:TraesCS2B02G005400	Chr2B	3407138	3410526	-	3408832	Chr2B	12495909	12499297	+	12497603	1.0	1.0	collinear
gene:TraesCS2B02G005500	Chr2B	3659755	3661311	-	3660533	Chr2B	12247624	12249180	+	12248402	1.0	1.0	collinear
gene:TraesCS2B02G005600	Chr2B	3684728	3687040	+	3685884	Chr2B	12222052	12224355	-	12223203	0.996	0.995	collinear
gene:TraesCS2B02G005700	Chr2B	3687109	3687952	+	3687530	Chr2B	12221140	12221983	-	12221561	1.0	1.0	collinear
gene:TraesCS2B02G005800	Chr2B	3772263	3773975	-	3773119	Chr2B	14837638	14839350	-	14838494	1.0	1.0	collinear
gene:TraesCS2B02G005900	Chr2B	3787544	3790240	+	3788892	Chr2B	14852554	14855250	+	14853902	1.0	1.0	collinear
gene:TraesCS2B02G006000	Chr2B	3794600	3795885	-	3795242	Chr2B	14859674	14860959	-	14860316	1.0	1.0	collinear
gene:TraesCS2B02G006100	Chr2B	3839122	3840611	+	3839866	Chr2B	14903911	14905400	+	14904655	1.0	1.0	collinear
gene:TraesCS2B02G006200	Chr2B	3907016	3908244	+	3907630	Chr2B	14971081	14972309	+	14971695	1.0	1.0	collinear
gene:TraesCS2B02G006300	Chr2B	4013566	4015994	+	4014780	Chr2B	15077438	15079866	+	15078652	1.0	1.0	collinear
gene:TraesCS2B02G006400	Chr2B	4117000	4118048	-	4117524	Chr2B	15178480	15179528	-	15179004	1.0	1.0	collinear
gene:TraesCS2B02G006500	Chr2B	4131445	4133057	+	4132251	Chr2B	15192925	15194537	+	15193731	1.0	1.0	collinear
gene:TraesCS2B02G006600	Chr2B	4185133	4187548	+	4186340	Chr2B	15246720	15249135	+	15247927	1.0	1.0	collinear
gene:TraesCS2B02G006700	Chr2B	4283146	4285475	+	4284310	Chr2B	15343862	15346191	+	15345026	1.0	1.0	collinear
gene:TraesCS2B02G006800	Chr2B	4424392	4426747	+	4425569	Chr2B	15484526	15486881	+	15485703	1.0	1.0	collinear
gene:TraesCS2B02G006900	Chr2B	4471513	4472626	-	4472069	Chr2B	15531416	15532529	-	15531972	1.0	1.0	collinear
gene:TraesCS2B02G007000	Chr2B	4481802	4483613	+	4482707	Chr2B	15541705	15543516	+	15542610	1.0	1.0	collinear
gene:TraesCS2B02G007100	Chr2B	4493174	4494883	+	4494028	Chr2B	15553077	15554786	+	15553931	1.0	1.0	collinear
gene:TraesCS2B02G007200	Chr2B	4502931	4515467	+	4509199	Chr2B	15562834	15575173	+	15569003	1.0	1.0	collinear
gene:TraesCS2B02G007300	Chr2B	4622069	4625035	+	4623552	Chr2B	15681095	15683907	+	15682501	1.0	1.0	collinear
gene:TraesCS2B02G007400	Chr2B	4633720	4638108	+	4635914	Chr2B	15716925	15721313	+	15719119	1.0	1.0	collinear
gene:TraesCS2B02G007500	Chr2B	4642754	4643683	+	4643218	Chr2B	15725959	15726888	+	15726423	1.0	1.0	collinear
