gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS6D02G044000	Chr6D	18774498	18776822	-	18775660	Chr6D	21963428	21965752	-	21964590	1.0	1.0	collinear
gene:TraesCS6D02G044100	Chr6D	18875635	18876563	+	18876099	Chr6D	22063766	22064694	+	22064230	1.0	1.0	collinear
gene:TraesCS6D02G044200	Chr6D	18882273	18890689	+	18886481	Chr6D	22070404	22078594	+	22074499	1.0	1.0	collinear
gene:TraesCS6D02G044300	Chr6D	18936703	18937357	-	18937030	Chr6D	22124292	22124946	-	22124619	1.0	1.0	collinear
gene:TraesCS6D02G044400	Chr6D	18984614	18985124	+	18984869	Chr6D	22171530	22172040	+	22171785	1.0	1.0	collinear
gene:TraesCS6D02G044500	Chr6D	19321171	19321737	+	19321454	Chr6D	22503914	22504480	+	22504197	1.0	1.0	collinear
gene:TraesCS6D02G044700	Chr6D	20087728	20088294	-	20088011	Chr6D	23297366	23297932	-	23297649	1.0	1.0	collinear
gene:TraesCS6D02G044800	Chr6D	20120742	20121907	+	20121324	Chr6D	23330659	23331824	+	23331241	1.0	1.0	collinear
gene:TraesCS6D02G044900	Chr6D	20141009	20142411	-	20141710	Chr6D	23350703	23352105	-	23351404	1.0	1.0	collinear
gene:TraesCS6D02G045000	Chr6D	20253905	20255131	+	20254518	Chr6D	23460205	23461431	+	23460818	1.0	1.0	collinear
gene:TraesCS6D02G045100	Chr6D	20310958	20312352	-	20311655	Chr6D	23516304	23517698	-	23517001	1.0	1.0	collinear
gene:TraesCS6D02G045300	Chr6D	20359444	20359812	-	20359628	Chr6D	23563814	23564182	-	23563998	1.0	1.0	collinear
gene:TraesCS6D02G045400	Chr6D	20399996	20403617	+	20401806	Chr6D	23605102	23608723	+	23606912	1.0	1.0	collinear
gene:TraesCS6D02G045500	Chr6D	20474597	20475216	-	20474906	Chr6D	23679807	23680426	-	23680116	1.0	1.0	collinear
gene:TraesCS6D02G045600	Chr6D	20547817	20553543	+	20550680	Chr6D	23757357	23763083	+	23760220	1.0	1.0	collinear
gene:TraesCS6D02G045700	Chr6D	20589794	20591573	+	20590683	Chr6D	23798806	23800585	+	23799695	1.0	1.0	collinear
gene:TraesCS6D02G045800	Chr6D	20601504	20602025	-	20601764	Chr6D	23810109	23810630	-	23810369	1.0	1.0	collinear
gene:TraesCS6D02G045900	Chr6D	20721858	20726678	-	20724268	Chr6D	23927538	23932358	-	23929948	1.0	1.0	collinear
gene:TraesCS6D02G046000	Chr6D	20758955	20763709	-	20761332	Chr6D	23964472	23969226	-	23966849	1.0	1.0	collinear
gene:TraesCS6D02G046200	Chr6D	20780582	20781971	+	20781276	Chr6D	23985800	23987189	+	23986494	1.0	1.0	collinear
gene:TraesCS6D02G046300	Chr6D	20792712	20794430	+	20793571	Chr6D	23997990	23999708	+	23998849	1.0	1.0	collinear
gene:TraesCS6D02G046400	Chr6D	20813074	20813763	-	20813418	Chr6D	24017991	24018680	-	24018335	1.0	1.0	collinear
gene:TraesCS6D02G046500	Chr6D	20818239	20818439	-	20818339	Chr6D	24022960	24023160	-	24023060	1.0	1.0	collinear
gene:TraesCS6D02G046600	Chr6D	20849213	20849623	-	20849418	Chr6D	24054841	24055251	-	24055046	1.0	1.0	collinear
gene:TraesCS6D02G046700	Chr6D	20851450	20854447	-	20852948	Chr6D	24057078	24060075	-	24058576	1.0	1.0	collinear
gene:TraesCS6D02G046800	Chr6D	21050249	21055169	+	21052709	Chr6D	24254603	24259523	+	24257063	1.0	1.0	collinear
gene:TraesCS6D02G046818	Chr6D	21077215	21079777	+	21078496	Chr6D	24281102	24283664	+	24282383	1.0	1.0	collinear
gene:TraesCS6D02G046900	Chr6D	21352213	21356030	+	21354121	Chr6D	24568426	24572243	+	24570334	1.0	1.0	collinear
gene:TraesCS6D02G047000	Chr6D	21700415	21701706	+	21701060	Chr6D	24907732	24909023	+	24908377	1.0	1.0	collinear
gene:TraesCS6D02G047100	Chr6D	21704506	21710067	-	21707286	Chr6D	24911823	24917384	-	24914603	1.0	1.0	collinear
gene:TraesCS6D02G047200	Chr6D	21904132	21906908	+	21905520	Chr6D	25105973	25108749	+	25107361	1.0	1.0	collinear
gene:TraesCS6D02G047300	Chr6D	21911988	21914788	-	21913388	Chr6D	25113829	25116629	-	25115229	1.0	1.0	collinear
gene:TraesCS6D02G047400	Chr6D	21980166	21985295	+	21982730	Chr6D	25181867	25186996	+	25184431	1.0	1.0	collinear
gene:TraesCS6D02G047500	Chr6D	21987248	21995439	-	21991343	Chr6D	25188949	25196809	-	25192879	1.0	1.0	collinear
gene:TraesCS6D02G047583	Chr6D	22124904	22133823	-	22129363	Chr6D	25324728	25333647	-	25329187	1.0	1.0	collinear
gene:TraesCS6D02G047600	Chr6D	22172543	22175397	-	22173970	Chr6D	25371338	25374192	-	25372765	1.0	1.0	collinear
gene:TraesCS6D02G047700	Chr6D	22182256	22185213	+	22183734	Chr6D	25380702	25383659	+	25382180	1.0	1.0	collinear
gene:TraesCS6D02G047800	Chr6D	22237678	22252400	+	22245039	Chr6D	25436123	25450337	+	25443230	1.0	1.0	collinear
gene:TraesCS6D02G047900	Chr6D	22267960	22268877	-	22268418	Chr6D	25465618	25466535	-	25466076	1.0	1.0	collinear
gene:TraesCS6D02G048000	Chr6D	22459853	22460219	+	22460036	Chr6D	25655672	25656038	+	25655855	1.0	1.0	collinear
gene:TraesCS6D02G048100	Chr6D	22761512	22762753	-	22762132	Chr6D	25955193	25956434	-	25955813	1.0	1.0	collinear
gene:TraesCS6D02G048200	Chr6D	23010297	23014816	-	23012556	Chr6D	26199725	26204244	-	26201984	1.0	1.0	collinear
gene:TraesCS6D02G048300	Chr6D	23075148	23077733	-	23076440	Chr6D	26263906	26266491	-	26265198	1.0	1.0	collinear
gene:TraesCS6D02G048400	Chr6D	23394069	23396104	+	23395086	Chr6D	26587665	26589700	+	26588682	1.0	1.0	collinear
gene:TraesCS6D02G048500	Chr6D	23398270	23415334	+	23406802	Chr6D	26591866	26608628	+	26600247	1.0	1.0	collinear
gene:TraesCS6D02G048600	Chr6D	23437269	23441078	-	23439173	Chr6D	26630563	26634372	-	26632467	1.0	1.0	collinear
gene:TraesCS6D02G048700	Chr6D	23630877	23632145	-	23631511	Chr6D	26824855	26826123	-	26825489	1.0	1.0	collinear
gene:TraesCS6D02G048800	Chr6D	23640918	23642195	-	23641556	Chr6D	26834896	26836173	-	26835534	1.0	1.0	collinear
gene:TraesCS6D02G048900	Chr6D	23736680	23741027	+	23738853	Chr6D	26928851	26933198	+	26931024	1.0	1.0	collinear
gene:TraesCS6D02G049000	Chr6D	23747410	23748908	-	23748159	Chr6D	26939581	26941079	-	26940330	1.0	1.0	collinear
gene:TraesCS6D02G049100	Chr6D	23832531	23836586	-	23834558	Chr6D	27023710	27027765	-	27025737	1.0	1.0	collinear
gene:TraesCS6D02G049200	Chr6D	23970308	23971062	-	23970685	Chr6D	27160061	27160815	-	27160438	1.0	1.0	collinear
gene:TraesCS6D02G049300	Chr6D	24003507	24007633	-	24005570	Chr6D	27193228	27197354	-	27195291	1.0	1.0	collinear
gene:TraesCS6D02G049400	Chr6D	24008110	24009801	-	24008955	Chr6D	27197831	27199522	-	27198676	1.0	1.0	collinear
gene:TraesCS6D02G049500	Chr6D	24022336	24024657	+	24023496	Chr6D	27211780	27214101	+	27212940	1.0	1.0	collinear
gene:TraesCS6D02G049600	Chr6D	24029163	24030022	+	24029592	Chr6D	27218607	27219466	+	27219036	1.0	1.0	collinear
gene:TraesCS6D02G049700	Chr6D	24030764	24031285	+	24031024	Chr6D	27220208	27220729	+	27220468	1.0	1.0	collinear
gene:TraesCS6D02G049800	Chr6D	24197532	24197807	-	24197669	Chr6D	27380778	27381053	-	27380915	1.0	1.0	collinear
gene:TraesCS6D02G049900	Chr6D	24198018	24200818	-	24199418	Chr6D	27381264	27384064	-	27382664	1.0	1.0	collinear
gene:TraesCS6D02G050000	Chr6D	24219716	24220192	+	24219954	Chr6D	27402962	27403438	+	27403200	1.0	1.0	collinear
gene:TraesCS6D02G050100	Chr6D	24230216	24232544	-	24231380	Chr6D	27413462	27415790	-	27414626	1.0	1.0	collinear
gene:TraesCS6D02G050200	Chr6D	24256873	24257367	+	24257120	Chr6D	27440113	27440607	+	27440360	1.0	1.0	collinear
gene:TraesCS6D02G050300	Chr6D	24261731	24262692	-	24262211	Chr6D	27444971	27445932	-	27445451	1.0	1.0	collinear
gene:TraesCS6D02G050398	Chr6D	24292498	24295115	-	24293806	Chr6D	27475438	27478055	-	27476746	1.0	1.0	collinear
gene:TraesCS6D02G050400	Chr6D	24296489	24298990	-	24297739	Chr6D	27479429	27481930	-	27480679	1.0	1.0	collinear
gene:TraesCS6D02G050500	Chr6D	24332807	24339994	-	24336400	Chr6D	27514527	27521714	-	27518120	1.0	1.0	collinear
gene:TraesCS6D02G050600	Chr6D	24345449	24358105	-	24351777	Chr6D	27531544	27544200	-	27537872	1.0	1.0	collinear
gene:TraesCS6D02G050700	Chr6D	24355255	24356940	-	24356097	Chr6D	27541350	27543035	-	27542192	1.0	1.0	collinear
gene:TraesCS6D02G050800	Chr6D	24360241	24366220	-	24363230	Chr6D	27546336	27552315	-	27549325	1.0	1.0	collinear
gene:TraesCS6D02G050900	Chr6D	24375492	24377880	-	24376686	Chr6D	27561032	27563420	-	27562226	1.0	1.0	collinear
gene:TraesCS6D02G051000	Chr6D	24390504	24405043	+	24397773	Chr6D	27576044	27590583	+	27583313	1.0	1.0	collinear
gene:TraesCS6D02G051100	Chr6D	24429080	24430315	+	24429697	Chr6D	27614426	27615661	+	27615043	1.0	1.0	collinear
gene:TraesCS6D02G051200	Chr6D	24430338	24432340	+	24431339	Chr6D	27615684	27617686	+	27616685	1.0	1.0	collinear
gene:TraesCS6D02G051300	Chr6D	24439300	24445791	+	24442545	Chr6D	27624382	27630873	+	27627627	1.0	1.0	collinear
gene:TraesCS6D02G051400	Chr6D	24455769	24460911	-	24458340	Chr6D	27640462	27645604	-	27643033	1.0	1.0	collinear
gene:TraesCS6D02G051500	Chr6D	24553708	24557515	+	24555611	Chr6D	27738177	27741984	+	27740080	1.0	1.0	collinear
gene:TraesCS6D02G051600	Chr6D	24556163	24560459	-	24558311	Chr6D	27740632	27744928	-	27742780	1.0	1.0	collinear
gene:TraesCS6D02G051700	Chr6D	24577921	24580588	-	24579254	Chr6D	27762390	27765057	-	27763723	1.0	1.0	collinear
gene:TraesCS6D02G051800	Chr6D	24591809	24595703	-	24593756	Chr6D	27775286	27779180	-	27777233	1.0	1.0	collinear
gene:TraesCS6D02G051900	Chr6D	24748176	24750768	-	24749472	Chr6D	27930078	27932670	-	27931374	1.0	1.0	collinear
gene:TraesCS6D02G052000	Chr6D	24821424	24825285	+	24823354	Chr6D	28002038	28005899	+	28003968	1.0	1.0	collinear
gene:TraesCS6D02G052100	Chr6D	24828892	24832576	-	24830734	Chr6D	28009506	28013190	-	28011348	1.0	1.0	collinear
gene:TraesCS6D02G052200	Chr6D	24842713	24845483	-	24844098	Chr6D	28023145	28025915	-	28024530	1.0	1.0	collinear
gene:TraesCS6D02G052300	Chr6D	24879376	24882286	+	24880831	Chr6D	28060549	28063459	+	28062004	1.0	1.0	collinear
gene:TraesCS6D02G052400	Chr6D	24933989	24935133	+	24934561	Chr6D	28114515	28115659	+	28115087	1.0	1.0	collinear
gene:TraesCS6D02G052500	Chr6D	25006511	25014755	+	25010633	Chr6D	28199553	28207897	+	28203725	1.0	1.0	collinear
gene:TraesCS6D02G052600	Chr6D	25017630	25018058	-	25017844	Chr6D	28210509	28210937	-	28210723	1.0	1.0	collinear
gene:TraesCS6D02G052700	Chr6D	25437895	25440132	-	25439013	Chr6D	28627579	28629816	-	28628697	1.0	1.0	collinear
gene:TraesCS6D02G052800	Chr6D	25513750	25533951	-	25523850	Chr6D	28702365	28722168	-	28712266	1.0	1.0	collinear
gene:TraesCS6D02G052900	Chr6D	25613531	25614769	-	25614150	Chr6D	28800814	28802052	-	28801433	1.0	1.0	collinear
gene:TraesCS6D02G053000	Chr6D	25614969	25616657	-	25615813	Chr6D	28802252	28803940	-	28803096	1.0	1.0	collinear
gene:TraesCS6D02G053100	Chr6D	25633070	25637115	+	25635092	Chr6D	28819890	28823935	+	28821912	1.0	1.0	collinear
gene:TraesCS6D02G053200	Chr6D	25639757	25642631	-	25641194	Chr6D	28826384	28829258	-	28827821	1.0	1.0	collinear
gene:TraesCS6D02G053300	Chr6D	25647000	25650222	-	25648611	Chr6D	28833627	28836849	-	28835238	1.0	1.0	collinear
gene:TraesCS6D02G053400	Chr6D	25660649	25665598	+	25663123	Chr6D	28847276	28852225	+	28849750	1.0	1.0	collinear
gene:TraesCS6D02G053500	Chr6D	25689426	25693177	+	25691301	Chr6D	28875625	28879376	+	28877500	1.0	1.0	collinear
gene:TraesCS6D02G053600	Chr6D	25694571	25695731	-	25695151	Chr6D	28880770	28881930	-	28881350	1.0	1.0	collinear
