cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr2A	3100621	240818173	Chr2A	5719670	247977190	2140	0.9996747663551402
Chr2A	249151448	252091236	Chr2A	256255362	259163893	6	1.0
Chr2A	255910505	258353437	Chr2A	262940583	265360987	8	1.0
Chr2A	260548731	262579565	Chr2A	267537450	269551015	7	1.0
Chr2A	265274570	273294992	Chr2A	272226485	280497987	16	1.0
Chr2A	275352399	281746218	Chr2A	282534272	288907890	23	1.0
Chr2A	283944564	286439768	Chr2A	291083947	293566648	5	1.0
Chr2A	288988301	294768029	Chr2A	296093271	301802430	8	1.0
Chr2A	297253831	306682759	Chr2A	304269370	313620587	11	1.0
Chr2A	309689781	315039543	Chr2A	316589141	323076313	7	0.9998571428571429
Chr2A	317947462	324619894	Chr2A	325958813	332578791	12	0.9999166666666667
Chr2A	331195967	335394528	Chr2A	338203239	342346259	10	1.0
Chr2A	340608829	341927845	Chr2A	350073634	352009689	3	1.0
Chr2A	349721260	353475914	Chr2A	357992950	361713075	9	1.0
Chr2A	364470917	366720526	Chr2A	370119859	372340247	6	1.0
Chr2A	369202998	395710262	Chr2A	378778574	405411433	92	0.99975
Chr2A	398464297	398971793	Chr2A	409858442	410359946	4	1.0
Chr2A	405468040	486499474	Chr2A	415051004	495589756	275	0.9994763636363636
Chr2A	488847564	547776466	Chr2A	497914820	556663029	321	0.9997570093457945
Chr2A	563939865	568581517	Chr2A	572311790	576904766	41	0.9992195121951221
Chr2A	582840575	761027623	Chr2A	591762435	770001454	2075	0.999759518072289
Chr2A	769145528	773824897	Chr2A	778310612	783132673	72	1.0
