gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS3D03G0016900	Chr3D	2965361	2969762	+	2967561	Chr3D	10986	15470	+	13228	0.97	0.92	rearrangement:Chr3D_block1
gene:TraesCS3D03G0017100	Chr3D	3024974	3029545	+	3027259	Chr3D	98644	103781	+	101212	0.988	0.91	rearrangement:Chr3D_block1
gene:TraesCS3D03G0017200	Chr3D	3040446	3042139	-	3041292	Chr3D	109065	110749	-	109907	0.994	0.953	rearrangement:Chr3D_block1
gene:TraesCS3D03G0017400	Chr3D	3116522	3120868	+	3118695	Chr3D	215211	219572	+	217391	0.966	0.912	rearrangement:Chr3D_block1
gene:TraesCS3D03G0017900	Chr3D	3185368	3186843	-	3186105	Chr3D	233356	234825	-	234090	0.991	0.933	rearrangement:Chr3D_block1
gene:TraesCS3D03G0018100	Chr3D	3207400	3207791	+	3207595	Chr3D	423795	424196	+	423995	1.0	0.94	rearrangement:Chr3D_block1
gene:TraesCS3D03G0019300	Chr3D	3396088	3398473	-	3397280	Chr3D	453170	455417	-	454293	0.993	0.927	rearrangement:Chr3D_block1
gene:TraesCS3D03G0019900	Chr3D	3512636	3514159	+	3513397	Chr3D	541624	543112	+	542368	0.96	0.902	rearrangement:Chr3D_block1
gene:TraesCS3D03G0020300	Chr3D	3575256	3575879	-	3575567	Chr3D	581370	581987	-	581678	0.99	0.948	rearrangement:Chr3D_block1
gene:TraesCS3D03G0021000	Chr3D	3997940	3998751	-	3998345	Chr3D	937901	938712	-	938306	1.0	0.976	rearrangement:Chr3D_block1
gene:TraesCS3D03G0021100	Chr3D	3999469	4000474	+	3999971	Chr3D	939429	940435	+	939932	0.998	0.962	rearrangement:Chr3D_block1
gene:TraesCS3D03G0021500	Chr3D	4059067	4062689	-	4060878	Chr3D	1038519	1041954	-	1040236	0.978	0.91	rearrangement:Chr3D_block1
gene:TraesCS3D03G0021800	Chr3D	4098245	4099227	+	4098736	Chr3D	1050739	1051719	+	1051229	1.0	0.96	rearrangement:Chr3D_block1
gene:TraesCS3D03G0021900	Chr3D	4120743	4121812	+	4121277	Chr3D	1272524	1273705	+	1273114	1.0	0.942	rearrangement:Chr3D_block1
gene:TraesCS3D03G0022400	Chr3D	4165437	4168414	-	4166925	Chr3D	1298054	1301006	-	1299530	0.976	0.93	rearrangement:Chr3D_block1
gene:TraesCS3D03G0022500	Chr3D	4172309	4181762	+	4177035	Chr3D	1305045	1309290	+	1307167	1.0	0.961	rearrangement:Chr3D_block1
gene:TraesCS3D03G0024000	Chr3D	4449683	4452131	+	4450907	Chr3D	1833453	1835921	-	1834687	1.0	0.948	rearrangement:Chr3D_block1
gene:TraesCS3D03G0024300	Chr3D	4468799	4477250	-	4473024	Chr3D	1606729	1615004	-	1610866	0.98	0.93	rearrangement:Chr3D_block1
gene:TraesCS3D03G0024400	Chr3D	4487254	4488429	+	4487841	Chr3D	1630568	1631722	+	1631145	0.981	0.902	rearrangement:Chr3D_block1
