cs_chr	cs_start	cs_end	tgt_chr	tgt_start	tgt_end	n_anchors	mean_identity
Chr3B	856277	6805777	Chr3B	86052	18178175	100	0.9923399999999998
Chr3B	10012714	35821190	Chr3B	3721012	43256427	315	0.985847619047619
Chr3B	38137652	97070979	Chr3B	35893760	98757148	534	0.9945749063670413
Chr3B	99457041	161932911	Chr3B	101124041	165827006	337	0.9950563798219585
Chr3B	163978483	195140937	Chr3B	167131190	205062906	163	0.9960061349693251
Chr3B	197758989	201137532	Chr3B	202457703	209327739	21	0.9962380952380953
Chr3B	215124087	215859872	Chr3B	229011546	230210570	11	0.9987272727272726
Chr3B	225234154	226081305	Chr3B	225675574	227235636	9	0.9951111111111111
Chr3B	233478716	241641396	Chr3B	250721428	260142516	42	0.9957142857142858
Chr3B	247259756	288293953	Chr3B	261679376	311834629	175	0.995057142857143
Chr3B	295003050	296080909	Chr3B	318729915	319872298	4	0.9985
Chr3B	301146877	307711148	Chr3B	320062445	330702945	7	0.9915714285714287
Chr3B	310640808	329207761	Chr3B	334195258	354390390	22	0.9968181818181818
Chr3B	333847811	350060262	Chr3B	359076198	381299043	24	0.9939166666666667
Chr3B	352247049	375781155	Chr3B	373901092	409221813	44	0.9961590909090906
Chr3B	378145074	416556469	Chr3B	411560117	449779144	156	0.9959487179487179
Chr3B	418922290	476323550	Chr3B	450223325	507537893	327	0.9979021406727827
Chr3B	484888496	489293465	Chr3B	508278962	513715709	26	0.9939615384615385
Chr3B	495039874	529649040	Chr3B	514571426	568857168	188	0.9983829787234042
Chr3B	534144519	851872904	Chr3B	573147226	890769380	2652	0.9957767722473605
