gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	83114	90751	+	86932	1.0	0.999	collinear
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	92292	95704	-	93998	0.99	0.99	collinear
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	106705	107250	-	106977	1.0	1.0	collinear
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	304927	309265	+	307096	1.0	0.999	collinear
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	326419	327819	+	327119	1.0	1.0	collinear
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	329934	335852	-	332893	1.0	1.0	collinear
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	380469	381601	-	381035	1.0	1.0	collinear
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	396394	399863	+	398128	1.0	1.0	collinear
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	406434	408990	+	407712	1.0	1.0	collinear
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	470397	488865	+	479631	1.0	0.999	collinear
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	516778	517698	+	517238	1.0	0.998	collinear
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	522614	524455	+	523534	1.0	1.0	collinear
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	679822	683029	+	681425	1.0	1.0	collinear
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	683726	687593	-	685659	1.0	1.0	collinear
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	689720	691886	+	690803	1.0	1.0	collinear
gene:TraesCS2D03G0002400	Chr2D	1649503	1653274	-	1651388	Chr2D	1655522	1659293	-	1657407	1.0	1.0	collinear
gene:TraesCS2D03G0002600	Chr2D	1713950	1716334	+	1715142	Chr2D	1717993	1720378	+	1719185	1.0	0.999	collinear
gene:TraesCS2D03G0002700	Chr2D	1727399	1735511	+	1731455	Chr2D	1731470	1739462	+	1735466	1.0	1.0	collinear
gene:TraesCS2D03G0002800	Chr2D	1746682	1747581	+	1747131	Chr2D	1750782	1751681	+	1751231	1.0	1.0	collinear
gene:TraesCS2D03G0003100	Chr2D	1762395	1762988	+	1762691	Chr2D	1767892	1768485	+	1768188	1.0	1.0	collinear
gene:TraesCS2D03G0003300	Chr2D	1783898	1784497	+	1784197	Chr2D	1789420	1790019	+	1789719	1.0	1.0	collinear
gene:TraesCS2D03G0004000	Chr2D	2035288	2045623	-	2040455	Chr2D	2714256	2724604	-	2719430	1.0	1.0	collinear
gene:TraesCS2D03G0004200	Chr2D	2080191	2084496	-	2082343	Chr2D	2759378	2763683	-	2761530	1.0	1.0	collinear
gene:TraesCS2D03G0004400	Chr2D	2112411	2114551	+	2113481	Chr2D	2794713	2796853	+	2795783	1.0	0.994	collinear
gene:TraesCS2D03G0004700	Chr2D	2134921	2136477	+	2135699	Chr2D	2817225	2818781	+	2818003	1.0	1.0	collinear
gene:TraesCS2D03G0004900	Chr2D	2166064	2169473	+	2167768	Chr2D	2848159	2851568	+	2849863	1.0	1.0	collinear
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	2918033	2918329	+	2918181	1.0	1.0	collinear
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	2940069	2947403	-	2943736	1.0	1.0	collinear
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	2999906	3000205	+	3000055	1.0	1.0	collinear
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	3024767	3025158	+	3024962	1.0	1.0	collinear
gene:TraesCS2D03G0006100	Chr2D	2357178	2357867	+	2357522	Chr2D	3038992	3039681	+	3039336	1.0	1.0	collinear
gene:TraesCS2D03G0006300	Chr2D	2377158	2383178	+	2380168	Chr2D	3057864	3063885	+	3060874	1.0	0.999	collinear
gene:TraesCS2D03G0006700	Chr2D	2441659	2447889	-	2444774	Chr2D	3111588	3117774	-	3114681	1.0	0.997	collinear
gene:TraesCS2D03G0006900	Chr2D	2460550	2464534	+	2462542	Chr2D	3130574	3134558	+	3132566	1.0	0.995	collinear
gene:TraesCS2D03G0007600	Chr2D	2581561	2586301	-	2583931	Chr2D	3204087	3208836	-	3206461	1.0	0.986	collinear
gene:TraesCS2D03G0007700	Chr2D	2586427	2592087	+	2589257	Chr2D	3208962	3214478	+	3211720	1.0	0.999	collinear
gene:TraesCS2D03G0007800	Chr2D	2603284	2607140	+	2605212	Chr2D	3225985	3229561	+	3227773	0.992	0.963	collinear
gene:TraesCS2D03G0007900	Chr2D	2621863	2623404	-	2622633	Chr2D	3243845	3245386	-	3244615	1.0	0.992	collinear
gene:TraesCS2D03G0008000	Chr2D	2626556	2626956	-	2626756	Chr2D	3248639	3249039	-	3248839	1.0	0.996	collinear
