cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr7B	1216063	183070778	Chr5B	299872717	480691259	1307	0.996601377199694
Chr7B	185568431	291430053	Chr5B	193620041	297425081	408	0.9977156862745098
Chr7B	295582888	299535604	Chr5B	186374598	190325839	7	0.9997142857142858
Chr7B	305617144	309173262	Chr5B	177340854	180906076	7	0.9995714285714286
Chr7B	311571913	321770729	Chr5B	162396071	172226318	19	0.9997894736842107
Chr7B	324796789	326779654	Chr5B	160264221	162247855	5	0.9996
Chr7B	327149605	342648507	Chr7B	412057792	427856451	33	0.9998181818181818
Chr7B	362128535	365719281	Chr7B	391751697	395358926	6	1.0
Chr7B	368322100	393308791	Chr7B	362003324	391321074	124	0.9986693548387098
Chr7B	396179589	410599513	Chr7B	345184531	359121935	52	0.9980961538461539
Chr7B	413179671	423778078	Chr7B	332094158	342605342	45	0.9991777777777776
Chr7B	425791676	545780843	Chr7B	210531052	330098329	779	0.9992451861360719
Chr7B	547795684	664757079	Chr7B	95210592	208469651	775	0.9937716129032258
Chr7B	666822976	673536396	Chr7B	85655955	95104419	63	0.9983809523809525
Chr7B	678417110	682688267	Chr7B	82101624	88151553	32	0.9990625
Chr7B	686343677	728421434	Chr7B	33833789	76009539	411	0.9913990267639902
Chr7B	732056571	748646317	Chr7B	16663988	33076103	123	0.9884390243902439
Chr7B	751898715	763873968	Chr7B	3767458	16196525	155	0.9921548387096774
