gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	tgt_chr	tgt_start	tgt_end	tgt_strand	tgt_midpoint	coverage	identity	segment
gene:TraesCS3A03G0013800	Chr3A	6965742	6973314	-	6969528	Chr3A	2591781	2596242	-	2594011	0.934	0.91	collinear
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	2693630	2694355	-	2693992	0.983	0.967	collinear
gene:TraesCS3A03G0014500	Chr3A	7235692	7236321	+	7236006	Chr3A	2710724	2711353	+	2711038	1.0	0.982	collinear
gene:TraesCS3A03G0014600	Chr3A	7271218	7272481	-	7271849	Chr3A	2725852	2727114	-	2726483	0.999	0.996	collinear
gene:TraesCS3A03G0014700	Chr3A	7285296	7286069	-	7285682	Chr3A	2748371	2749144	-	2748757	1.0	0.998	collinear
gene:TraesCS3A03G0014800	Chr3A	7323919	7329828	+	7326873	Chr3A	2786110	2792022	+	2789066	1.0	0.995	collinear
gene:TraesCS3A03G0015200	Chr3A	7342556	7344335	-	7343445	Chr3A	2804838	2806617	-	2805727	1.0	0.999	collinear
gene:TraesCS3A03G0015300	Chr3A	7348215	7349429	-	7348822	Chr3A	2810497	2811711	-	2811104	1.0	1.0	collinear
gene:TraesCS3A03G0015600	Chr3A	7363585	7366969	+	7365277	Chr3A	2825973	2829430	+	2827701	1.0	1.0	collinear
gene:TraesCS3A03G0015800	Chr3A	7380064	7383852	-	7381958	Chr3A	2842604	2846388	-	2844496	0.997	0.991	collinear
gene:TraesCS3A03G0016300	Chr3A	7500062	7500565	-	7500313	Chr3A	2912483	2912986	-	2912734	1.0	0.998	collinear
gene:TraesCS3A03G0016400	Chr3A	7504661	7506864	-	7505762	Chr3A	2923471	2925674	-	2924572	1.0	1.0	collinear
gene:TraesCS3A03G0016700	Chr3A	7536839	7541137	-	7538988	Chr3A	2956012	2960310	-	2958161	1.0	1.0	collinear
gene:TraesCS3A03G0016800	Chr3A	7541942	7543943	-	7542942	Chr3A	2961115	2963116	-	2962115	1.0	1.0	collinear
gene:TraesCS3A03G0017000	Chr3A	7564464	7567367	-	7565915	Chr3A	2983532	2986435	-	2984983	1.0	1.0	collinear
gene:TraesCS3A03G0017200	Chr3A	7711376	7711747	+	7711561	Chr3A	3131757	3132128	+	3131942	1.0	1.0	collinear
gene:TraesCS3A03G0017400	Chr3A	7713418	7714814	+	7714116	Chr3A	3133799	3135195	+	3134497	1.0	1.0	collinear
gene:TraesCS3A03G0017500	Chr3A	7835763	7836658	+	7836210	Chr3A	3260733	3261628	+	3261180	1.0	1.0	collinear
gene:TraesCS3A03G0017600	Chr3A	7843174	7845911	-	7844542	Chr3A	3268158	3270896	-	3269527	1.0	1.0	collinear
gene:TraesCS3A03G0017800	Chr3A	7873298	7874889	+	7874093	Chr3A	3298260	3299851	+	3299055	1.0	1.0	collinear
