gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS6B03G0512900	Chr6B	245304101	245305561	+	245304831	Chr6B	244032574	244034034	+	244033304	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0512800	Chr6B	245303661	245311622	-	245307641	Chr6B	244032134	244040118	-	244036126	0.999	0.998	rearrangement:Chr6B_block1
gene:TraesCS6B03G0513000	Chr6B	245329579	245336722	+	245333150	Chr6B	244058081	244065319	+	244061700	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0513100	Chr6B	245374760	245385295	+	245380027	Chr6B	244099736	244110178	+	244104957	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0513600	Chr6B	245754921	245756179	+	245755550	Chr6B	244480814	244482072	+	244481443	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0513800	Chr6B	245761014	245763665	+	245762339	Chr6B	244486886	244489538	+	244488212	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0514200	Chr6B	245894154	245897727	-	245895940	Chr6B	244618370	244621943	-	244620156	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0514300	Chr6B	245938625	245939731	+	245939178	Chr6B	244662868	244663962	+	244663415	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0514400	Chr6B	246063791	246069109	+	246066450	Chr6B	244789798	244795117	+	244792457	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0514500	Chr6B	246070132	246082350	-	246076241	Chr6B	244796140	244808358	-	244802249	0.999	0.998	rearrangement:Chr6B_block1
gene:TraesCS6B03G0514700	Chr6B	246269802	246275507	-	246272654	Chr6B	244993265	244998970	-	244996117	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0515200	Chr6B	246332138	246333500	-	246332819	Chr6B	245055683	245057045	-	245056364	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0515300	Chr6B	246348187	246356238	+	246352212	Chr6B	245079811	245091589	+	245085700	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0515600	Chr6B	246356484	246358076	-	246357280	Chr6B	245091834	245093426	-	245092630	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0515700	Chr6B	246406940	246408420	+	246407680	Chr6B	245141212	245142691	+	245141951	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0515900	Chr6B	246409446	246409784	+	246409615	Chr6B	245143717	245144055	+	245143886	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0516000	Chr6B	246410552	246417264	-	246413908	Chr6B	245144820	245151538	-	245148179	1.0	0.995	rearrangement:Chr6B_block1
gene:TraesCS6B03G0516100	Chr6B	246425156	246427469	+	246426312	Chr6B	245159424	245161721	+	245160572	0.986	0.982	rearrangement:Chr6B_block1
gene:TraesCS6B03G0517400	Chr6B	249272902	249275267	-	249274084	Chr6B	248065664	248069709	-	248067686	1.0	0.995	rearrangement:Chr6B_block2
gene:TraesCS6B03G0519000	Chr6B	250845601	250846949	-	250846275	Chr6B	249684417	249685761	-	249685089	1.0	0.998	rearrangement:Chr6B_block2
gene:TraesCS6B03G0520300	Chr6B	251584606	251586087	+	251585346	Chr6B	250419623	250421104	+	250420363	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0520600	Chr6B	251965548	251969355	+	251967451	Chr6B	250803371	250807178	+	250805274	1.0	0.999	rearrangement:Chr6B_block2
gene:TraesCS6B03G0520900	Chr6B	251975818	251977169	-	251976493	Chr6B	250813616	250814968	-	250814292	1.0	0.999	rearrangement:Chr6B_block2
gene:TraesCS6B03G0521000	Chr6B	251985246	251988582	-	251986914	Chr6B	250823045	250826382	-	250824713	1.0	0.998	rearrangement:Chr6B_block2
gene:TraesCS6B03G0522300	Chr6B	252862832	252864720	-	252863776	Chr6B	251615619	251617507	-	251616563	1.0	0.999	rearrangement:Chr6B_block2
gene:TraesCS6B03G0522400	Chr6B	252869084	252877338	-	252873211	Chr6B	251621873	251630119	-	251625996	1.0	0.994	rearrangement:Chr6B_block2
gene:TraesCS6B03G0522600	Chr6B	252959004	252960025	-	252959514	Chr6B	251711767	251712788	-	251712277	1.0	0.996	rearrangement:Chr6B_block2
gene:TraesCS6B03G0522900	Chr6B	252986677	252987447	-	252987062	Chr6B	251739441	251740211	-	251739826	1.0	0.997	rearrangement:Chr6B_block2
gene:TraesCS6B03G0523100	Chr6B	253169995	253170390	+	253170192	Chr6B	251920582	251920977	+	251920779	1.0	0.997	rearrangement:Chr6B_block2
gene:TraesCS6B03G0524500	Chr6B	253568108	253568299	-	253568203	Chr6B	252316230	252316421	-	252316325	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0524700	Chr6B	253576417	253581702	+	253579059	Chr6B	252324531	252329815	+	252327173	1.0	0.997	rearrangement:Chr6B_block2
gene:TraesCS6B03G0525300	Chr6B	254529435	254531483	+	254530459	Chr6B	253246742	253248790	+	253247766	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0525500	Chr6B	254532977	254538024	+	254535500	Chr6B	253250283	253255330	+	253252806	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0525700	Chr6B	254540705	254543813	+	254542259	Chr6B	253258017	253261141	+	253259579	1.0	0.998	rearrangement:Chr6B_block2
gene:TraesCS6B03G0525800	Chr6B	254549680	254552861	+	254551270	Chr6B	253267060	253270241	+	253268650	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0525900	Chr6B	254553350	254567936	-	254560643	Chr6B	253270730	253285383	-	253278056	1.0	0.994	rearrangement:Chr6B_block2
gene:TraesCS6B03G0526000	Chr6B	254568079	254571049	-	254569564	Chr6B	253285526	253288496	-	253287011	1.0	0.999	rearrangement:Chr6B_block2
gene:TraesCS6B03G0526200	Chr6B	254684754	254689546	-	254687150	Chr6B	253404331	253409165	-	253406748	1.0	1.0	rearrangement:Chr6B_block2
