gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	40387	45716	+	43051	1.0	0.988	collinear
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	50925	55098	-	53011	0.958	0.931	collinear
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	108705	109187	-	108946	1.0	0.977	collinear
gene:TraesCS2B03G0000400	Chr2B	106822	111948	+	109385	Chr2B	186087	191206	+	188646	0.982	0.962	collinear
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	205171	206882	+	206026	1.0	0.992	collinear
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	210128	214858	-	212493	0.997	0.989	collinear
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	321497	322616	-	322056	1.0	0.997	collinear
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	327819	331204	+	329511	0.998	0.977	collinear
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	337029	337874	+	337451	0.995	0.915	collinear
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	408150	410527	+	409338	0.975	0.963	collinear
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	411295	414886	-	413090	0.986	0.916	collinear
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	450585	452590	+	451587	1.0	0.971	collinear
gene:TraesCS2B03G0005700	Chr2B	963404	964372	+	963888	Chr2B	548199	549167	+	548683	1.0	0.998	collinear
gene:TraesCS2B03G0005900	Chr2B	993279	993881	+	993580	Chr2B	563861	564415	+	564138	0.92	0.903	collinear
gene:TraesCS2B03G0006000	Chr2B	1002722	1009665	+	1006193	Chr2B	574068	581009	+	577538	1.0	0.996	collinear
gene:TraesCS2B03G0006500	Chr2B	1091608	1092561	-	1092084	Chr2B	638083	639036	-	638559	1.0	1.0	collinear
gene:TraesCS2B03G0006600	Chr2B	1094148	1094755	-	1094451	Chr2B	640629	641236	-	640932	1.0	1.0	collinear
gene:TraesCS2B03G0006800	Chr2B	1102968	1104198	+	1103583	Chr2B	649529	650797	+	650163	0.998	0.945	collinear
gene:TraesCS2B03G0006900	Chr2B	1108051	1109094	-	1108572	Chr2B	659229	660267	-	659748	0.995	0.975	collinear
gene:TraesCS2B03G0008300	Chr2B	1951546	1953088	-	1952317	Chr2B	867946	869489	-	868717	0.997	0.979	collinear
gene:TraesCS2B03G0008500	Chr2B	1958192	1967818	-	1963005	Chr2B	874642	884328	-	879485	1.0	0.999	collinear
gene:TraesCS2B03G0009200	Chr2B	2344071	2344364	+	2344217	Chr2B	1150160	1150453	+	1150306	1.0	1.0	collinear
gene:TraesCS2B03G0009700	Chr2B	2520260	2520661	-	2520460	Chr2B	1326698	1327100	-	1326899	1.0	1.0	collinear
gene:TraesCS2B03G0009900	Chr2B	2672857	2674541	-	2673699	Chr2B	1511222	1512903	-	1512062	0.998	0.994	collinear
gene:TraesCS2B03G0010000	Chr2B	2678638	2681094	-	2679866	Chr2B	1517002	1519458	-	1518230	1.0	0.998	collinear
gene:TraesCS2B03G0010300	Chr2B	2698016	2703512	+	2700764	Chr2B	1536664	1542157	+	1539410	0.999	0.996	collinear
gene:TraesCS2B03G0010400	Chr2B	2717986	2718723	-	2718354	Chr2B	1556643	1557380	-	1557011	1.0	0.991	collinear
gene:TraesCS2B03G0010800	Chr2B	2882010	2883720	-	2882865	Chr2B	1773049	1774770	-	1773909	1.0	0.99	collinear
gene:TraesCS2B03G0010900	Chr2B	2892074	2894736	+	2893405	Chr2B	1794447	1797455	+	1795951	1.0	0.983	collinear
gene:TraesCS2B03G0011000	Chr2B	2916973	2932515	-	2924744	Chr2B	1802453	1813105	-	1807779	0.976	0.968	collinear
gene:TraesCS2B03G0011100	Chr2B	2935121	2936823	+	2935972	Chr2B	3254268	3255946	-	3255107	0.977	0.906	collinear
gene:TraesCS2B03G0011300	Chr2B	2962930	2963370	+	2963150	Chr2B	1846376	1846816	+	1846596	1.0	1.0	collinear
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	3275343	3276223	-	3275783	0.99	0.973	collinear
gene:TraesCS2B03G0014300	Chr2B	4031007	4035278	-	4033142	Chr2B	2933456	2937726	-	2935591	0.999	0.991	collinear
gene:TraesCS2B03G0014500	Chr2B	4057416	4065064	-	4061240	Chr2B	2764634	2772250	-	2768442	1.0	0.992	collinear
