cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr3A	6969528	85044547	Chr3A	2594011	80443360	988	0.9955566801619432
Chr3A	91244560	95998809	Chr3A	86084548	90824516	33	0.9982727272727272
Chr3A	101955757	140281429	Chr3A	97378532	135332920	277	0.9980072202166064
Chr3A	142385461	192745740	Chr3A	137432370	187012680	215	0.9981023255813952
Chr3A	195861474	263087799	Chr3A	190131590	256990830	205	0.9994146341463415
Chr3A	270762150	278734659	Chr3A	264635512	272607718	12	0.9978333333333333
Chr3A	280899243	284859700	Chr3A	274764190	278671652	6	0.9994999999999999
Chr3A	286968946	294756278	Chr3A	280806900	288570650	7	0.9998571428571428
Chr3A	300173801	305236714	Chr3A	294564010	299588885	6	0.9990000000000001
Chr3A	307569651	312719343	Chr3A	301929030	307081768	6	1.0
Chr3A	315104458	328087198	Chr3A	309469315	322425770	19	0.9994736842105264
Chr3A	336589242	349096037	Chr3A	331513672	345792558	24	0.9989166666666667
Chr3A	351562540	354510700	Chr3A	348193363	351128307	8	0.9995
Chr3A	357146906	360275758	Chr3A	353769475	356894830	6	0.9998333333333335
Chr3A	362401176	717475572	Chr3A	359009394	713367672	2661	0.9971724915445321
Chr3A	720866250	722252409	Chr3A	721378569	722748218	19	0.9881052631578948
Chr3A	725314425	754027567	Chr3A	725909601	752075715	277	0.9919819494584837
