cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr6A	119203	165560133	Chr6A	51346	163721729	1466	0.9941793997271487
Chr6A	169123596	174751019	Chr6A	167271120	172903982	30	0.9995666666666667
Chr6A	177010402	237636332	Chr6A	175165260	235105435	200	0.9987599999999999
Chr6A	243810148	244731119	Chr6A	241216439	242055170	3	0.9946666666666667
Chr6A	251103689	255370132	Chr6A	248342823	252570206	8	0.9962500000000001
Chr6A	257566273	264313435	Chr6A	254791997	261432003	20	0.9950000000000001
Chr6A	266482395	275860435	Chr6A	263634100	273195978	22	0.998
Chr6A	278883582	290338890	Chr6A	276244151	287578840	15	0.9975333333333334
Chr6A	293863739	319731587	Chr6A	290354096	319287897	28	0.998
Chr6A	323819925	326827584	Chr6A	323349409	326389567	8	0.9974999999999999
Chr6A	328915123	332571498	Chr6A	328491405	332124940	6	0.9968333333333333
Chr6A	334687288	346665213	Chr6A	334166947	346458763	16	0.9976875
Chr6A	349035941	349057392	Chr6A	348866273	348890544	3	0.999
Chr6A	354380382	355885891	Chr6A	354246103	355726623	4	0.9970000000000001
Chr6A	357954045	528672379	Chr6A	357670000	527468320	857	0.9986021003500583
Chr6A	531482801	612440903	Chr6A	527500755	609067355	983	0.9954130213631739
Chr6A	615300985	618284876	Chr6A	614467885	617355087	56	0.9874999999999999
