cs_chr	ArinaLrFor_tgt_chr	n_anchors	ArinaLrFor_mean_anchor_gap_Mb	ArinaLrFor_interp_type	n_segments	ArinaLrFor_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A+Chr1A+Chr1A	3997	0.1	linear+linear+linear+linear+linear+linear	6	0.946
Chr1B	Chr1B+Chr1B+Chr1B	4191	0.142	linear+linear+linear	3	0.918
Chr1D	Chr1D	4326	0.115	linear	1	0.968
Chr2A	Chr2A+Chr2A	5478	0.312	linear+pchip_inverted	2	0.926
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5368	0.198	linear+linear+linear+linear+linear+linear+pchip+linear+linear	9	0.905
Chr2D	Chr2D	5030	0.128	linear	1	0.914
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4928	0.133	linear+linear+linear+linear+pchip_inverted+pchip+linear	7	0.96
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5278	0.289	linear+linear+pchip+linear+linear	5	0.898
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	5119	0.086	linear+linear+linear+linear	4	0.983
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	4463	0.268	linear+linear+linear+linear	4	0.951
Chr4B	Chr4B	3529	0.19	linear	1	0.796
Chr4D	Chr4D	3447	0.147	linear	1	0.964
Chr5A	Chr5A+Chr5A+Chr5A	5184	0.214	linear+linear+linear	3	0.961
Chr5B	Chr5B+Chr7B+Chr5B+Chr5B+Chr7B+Chr7B+Chr7B	5000	0.09	linear+linear+linear+linear+pchip+linear+linear	7	0.869
Chr5D	Chr5D+Chr5D+Chr5D	5442	0.064	linear+pchip_inverted+linear	3	0.982
Chr6A	Chr6A+Chr6A+Chr6A	3843	0.096	linear+pchip_inverted+pchip	3	0.96
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3944	0.197	linear+linear+pchip+pchip_inverted+pchip_inverted	5	0.789
Chr6D	Chr6D	3831	0.129	linear	1	0.959
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5049	0.1	linear+linear+linear+linear+pchip_inverted+linear	6	0.941
Chr7B	Chr5B+Chr7B+Chr5B+Chr5B+Chr7B	4411	3.431	linear+linear+linear+linear+linear	5	0.909
Chr7D	Chr7D+Chr7D	5256	0.085	linear+linear	2	0.976
