gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	662453	663958	+	663205	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	585131	586578	+	585854	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004400	Chr5B	3564118	3565596	+	3564857	Chr5B	393410	394888	-	394149	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	362110	366079	+	364094	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004600	Chr5B	3603885	3607681	+	3605783	Chr5B	351626	355422	-	353524	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004700	Chr5B	3614607	3619532	+	3617069	Chr5B	339921	344700	-	342310	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0010600	Chr5B	6627478	6644259	+	6635868	Chr5B	4642390	4659167	-	4650778	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0011300	Chr5B	6679420	6682699	+	6681059	Chr5B	4603951	4607230	-	4605590	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0011400	Chr5B	6701850	6705413	+	6703631	Chr5B	4581384	4584947	-	4583165	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0011500	Chr5B	6706639	6711139	+	6708889	Chr5B	4575953	4580453	-	4578203	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0011800	Chr5B	6715953	6734079	+	6725016	Chr5B	4553012	4571138	-	4562075	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0012000	Chr5B	6891065	6894289	-	6892677	Chr5B	4383271	4386495	+	4384883	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0012700	Chr5B	6974763	6984323	-	6979543	Chr5B	4293810	4303371	+	4298590	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B03G0013000	Chr5B	7024791	7026752	+	7025771	Chr5B	4251963	4253924	-	4252943	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B03G0012900	Chr5B	7022108	7032100	+	7027104	Chr5B	4147617	4156673	-	4152145	1.0	0.997	rearrangement:Chr5B_block2
gene:TraesCS5B03G0013400	Chr5B	7077724	7083197	-	7080460	Chr5B	4096283	4101756	+	4099019	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0013600	Chr5B	7124941	7128118	-	7126529	Chr5B	4051741	4054917	+	4053329	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0014000	Chr5B	7204960	7205447	-	7205203	Chr5B	4009181	4009668	+	4009424	1.0	0.994	rearrangement:Chr5B_block2
gene:TraesCS5B03G0014100	Chr5B	7240428	7241179	-	7240803	Chr5B	3986994	3987746	+	3987370	0.998	0.987	rearrangement:Chr5B_block2
gene:TraesCS5B03G0014300	Chr5B	7359600	7360287	-	7359943	Chr5B	3823803	3824490	+	3824146	1.0	0.988	rearrangement:Chr5B_block2
gene:TraesCS5B03G0014500	Chr5B	7437158	7437645	-	7437401	Chr5B	3767138	3767632	+	3767385	1.0	0.989	rearrangement:Chr5B_block2
