cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr7A	239033	1538276	Chr7A	12176136	13304093	21	0.9996666666666666
Chr7A	9335596	13915841	Chr7A	277777	5114938	79	0.9886202531645569
Chr7A	52551351	52890920	Chr7A	47886505	48299488	8	0.9826250000000001
Chr7A	150446304	160921053	Chr7A	173846836	184975045	76	0.9957105263157894
Chr7A	168706660	177718876	Chr7A	157995494	166691084	70	0.9947857142857142
Chr7A	1705972	9315164	Chr7A	5195764	11956046	123	0.9879512195121951
Chr7A	14299338	74184701	Chr7A	13624452	74332528	649	0.9932126348228043
Chr7A	77026948	149795904	Chr7A	77248932	157288727	669	0.9967234678624813
Chr7A	160980203	168697189	Chr7A	166700565	173776094	59	0.9929491525423728
Chr7A	176812931	316231457	Chr7A	185298948	324525896	689	0.9976705370101596
Chr7A	318780197	364830171	Chr7A	327021441	372881274	84	0.9992619047619048
Chr7A	367537951	393376082	Chr7A	377721689	403591216	37	0.9995405405405406
Chr7A	396497557	744351584	Chr7A	406722450	756299637	2485	0.9953231388329978
