gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS2A03G0505200	Chr2A	262294868	262296867	+	262295867	Chr2A	253455947	253457950	-	253456948	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0505600	Chr2A	262366697	262367697	+	262367197	Chr2A	253375810	253376809	-	253376309	0.998	0.993	rearrangement:Chr2A_block1
gene:TraesCS2A03G0505800	Chr2A	262367581	262394709	-	262381145	Chr2A	253348801	253375926	+	253362363	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0505900	Chr2A	262855209	262870895	-	262863052	Chr2A	252859946	252875633	+	252867789	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0506300	Chr2A	265047108	265048254	+	265047681	Chr2A	250552558	250553704	-	250553131	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0507000	Chr2A	265667137	265679438	-	265673287	Chr2A	249888316	249900677	+	249894496	0.999	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0508200	Chr2A	266532149	266533195	-	266532672	Chr2A	249016908	249017954	+	249017431	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0508300	Chr2A	266609481	266610966	-	266610223	Chr2A	248938654	248940139	+	248939396	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0508600	Chr2A	266651440	266661617	-	266656528	Chr2A	248883041	248898297	+	248890669	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0509100	Chr2A	267060327	267064374	+	267062350	Chr2A	248457761	248461808	-	248459784	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0509300	Chr2A	267064933	267068314	-	267066623	Chr2A	248453821	248457202	+	248455511	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0510300	Chr2A	269744598	269746399	-	269745498	Chr2A	247241844	247243645	+	247242744	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0510400	Chr2A	269802991	269803272	+	269803131	Chr2A	247197155	247197436	-	247197295	1.0	0.996	rearrangement:Chr2A_block1
gene:TraesCS2A03G0512600	Chr2A	271368084	271368485	-	271368284	Chr2A	245499172	245499573	+	245499372	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0512800	Chr2A	272339365	272350928	-	272345146	Chr2A	244497968	244509542	+	244503755	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0513100	Chr2A	272435285	272436223	+	272435754	Chr2A	244400382	244401320	-	244400851	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0513200	Chr2A	273004876	273006771	-	273005823	Chr2A	243807930	243809825	+	243808877	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0513500	Chr2A	273428692	273438400	+	273433546	Chr2A	243377658	243387364	-	243382511	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0513900	Chr2A	273708897	273709732	-	273709314	Chr2A	243119964	243120799	+	243120381	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0514700	Chr2A	274726972	274735840	-	274731406	Chr2A	242092113	242100977	+	242096545	1.0	0.995	rearrangement:Chr2A_block1
gene:TraesCS2A03G0514800	Chr2A	274899284	274905261	+	274902272	Chr2A	241910085	241915983	-	241913034	0.929	0.927	rearrangement:Chr2A_block1
gene:TraesCS2A03G0515500	Chr2A	276306422	276308724	-	276307573	Chr2A	240333559	240335861	+	240334710	1.0	0.992	rearrangement:Chr2A_block1
gene:TraesCS2A03G0515800	Chr2A	276319926	276336381	+	276328153	Chr2A	240305606	240322272	-	240313939	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0516000	Chr2A	276336265	276338740	-	276337502	Chr2A	240303227	240305722	+	240304474	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0516800	Chr2A	277341958	277345468	-	277343713	Chr2A	239225732	239229237	+	239227484	1.0	0.99	rearrangement:Chr2A_block1
gene:TraesCS2A03G0517100	Chr2A	277461640	277463524	+	277462582	Chr2A	239094570	239096454	-	239095512	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0517600	Chr2A	277773792	277788371	-	277781081	Chr2A	238823319	238837946	+	238830632	0.996	0.995	rearrangement:Chr2A_block1
gene:TraesCS2A03G0518000	Chr2A	279828898	279829260	+	279829079	Chr2A	236649045	236649407	-	236649226	1.0	0.988	rearrangement:Chr2A_block1
gene:TraesCS2A03G0518100	Chr2A	279829045	279829296	-	279829170	Chr2A	236649009	236649260	+	236649134	1.0	0.992	rearrangement:Chr2A_block1
gene:TraesCS2A03G0518200	Chr2A	280403666	280410282	-	280406974	Chr2A	236091871	236098487	+	236095179	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A03G0518700	Chr2A	280747469	280748075	+	280747772	Chr2A	235721322	235721928	-	235721625	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0518800	Chr2A	280750334	280753153	-	280751743	Chr2A	235716249	235719072	+	235717660	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0519200	Chr2A	280914390	280914641	+	280914515	Chr2A	235550472	235550723	-	235550597	1.0	0.992	rearrangement:Chr2A_block1
gene:TraesCS2A03G0519400	Chr2A	280914794	280914910	+	280914852	Chr2A	235550202	235550318	-	235550260	1.0	0.991	rearrangement:Chr2A_block1
gene:TraesCS2A03G0519800	Chr2A	281330019	281330457	+	281330238	Chr2A	235127508	235127946	-	235127727	1.0	0.992	rearrangement:Chr2A_block1
gene:TraesCS2A03G0520000	Chr2A	281607073	281609215	-	281608144	Chr2A	234853439	234855581	+	234854510	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0520900	Chr2A	282067322	282073336	+	282070329	Chr2A	234390375	234396396	-	234393385	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A03G0521000	Chr2A	282072567	282077256	-	282074911	Chr2A	234386455	234391144	+	234388799	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0521100	Chr2A	282079895	282083971	-	282081933	Chr2A	234379739	234383815	+	234381777	1.0	0.995	rearrangement:Chr2A_block1
