cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr1A	1143626	161541694	Chr1A	2647053	163460751	1085	0.9927502304147465
Chr1A	163678239	179324135	Chr1A	165640833	181264342	28	0.9993214285714286
Chr1A	181647298	184244993	Chr1A	183328000	185903287	6	0.997
Chr1A	187212146	195578524	Chr1A	188886182	197259218	11	0.999909090909091
Chr1A	202719482	204217307	Chr1A	204413015	205899796	5	0.9987999999999999
Chr1A	206439950	211446295	Chr1A	208126458	213109698	8	0.999625
Chr1A	214015968	411777219	Chr1A	215699985	417516638	916	0.9962194323144103
Chr1A	414061309	422384517	Chr1A	419908198	428446086	23	0.9965652173913043
Chr1A	425019660	516361311	Chr1A	430264004	521195503	821	0.9973105968331304
Chr1A	519062024	523695571	Chr1A	524911914	529633593	62	0.9957258064516129
Chr1A	528307657	549266979	Chr1A	533851310	554493783	308	0.9940292207792207
Chr1A	559407333	564322974	Chr1A	565844622	570545435	67	0.9940746268656716
Chr1A	575760323	598556974	Chr1A	580730008	602557852	308	0.9942597402597404
Chr1A	516530290	518871346	Chr1A	530655984	532848575	35	0.9962857142857142
Chr1A	523946105	524684940	Chr1A	523930803	524656348	14	0.9857857142857142
Chr1A	525820907	526835239	Chr1A	521839776	522870062	7	0.999
Chr1A	549620859	559176174	Chr1A	570833291	580446199	157	0.994764331210191
Chr1A	564520690	575669407	Chr1A	554665133	565647653	135	0.9942888888888888
