gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS7B03G0005700	Chr7B	1213141	1218986	-	1216063	Chr5B	480688337	480694182	+	480691259	1.0	1.0	collinear
gene:TraesCS7B03G0006000	Chr7B	1264151	1272041	-	1268096	Chr5B	480635172	480643177	+	480639174	1.0	0.999	collinear
gene:TraesCS7B03G0006300	Chr7B	1279040	1286019	-	1282529	Chr5B	480621194	480628173	+	480624683	1.0	1.0	collinear
gene:TraesCS7B03G0006400	Chr7B	1286695	1293028	-	1289861	Chr5B	480614185	480620518	+	480617351	1.0	1.0	collinear
gene:TraesCS7B03G0006500	Chr7B	1313496	1318517	+	1316006	Chr5B	480587942	480592963	-	480590452	1.0	0.999	collinear
gene:TraesCS7B03G0006700	Chr7B	1322519	1336722	+	1329620	Chr5B	480569742	480583943	-	480576842	1.0	0.998	collinear
gene:TraesCS7B03G0006800	Chr7B	1340667	1341047	+	1340857	Chr5B	480565417	480565797	-	480565607	1.0	1.0	collinear
gene:TraesCS7B03G0007200	Chr7B	1360503	1361234	+	1360868	Chr5B	480498423	480499154	-	480498788	1.0	1.0	collinear
gene:TraesCS7B03G0007400	Chr7B	1373321	1373710	+	1373515	Chr5B	480485953	480486342	-	480486147	1.0	1.0	collinear
gene:TraesCS7B03G0008000	Chr7B	1436165	1437258	+	1436711	Chr5B	480418444	480419537	-	480418990	1.0	1.0	collinear
gene:TraesCS7B03G0008100	Chr7B	1480605	1481773	+	1481189	Chr5B	480376870	480378038	-	480377454	1.0	0.999	collinear
gene:TraesCS7B03G0008600	Chr7B	1693992	1694231	+	1694111	Chr5B	480162905	480163144	-	480163024	1.0	1.0	collinear
gene:TraesCS7B03G0010400	Chr7B	2097129	2100452	+	2098790	Chr5B	479803540	479806838	-	479805189	1.0	0.993	collinear
gene:TraesCS7B03G0010500	Chr7B	2662842	2663519	-	2663180	Chr5B	479429028	479429705	+	479429366	1.0	1.0	collinear
gene:TraesCS7B03G0010700	Chr7B	2668551	2670096	+	2669323	Chr5B	479422452	479423997	-	479423224	1.0	1.0	collinear
gene:TraesCS7B03G0011300	Chr7B	2894770	2896423	-	2895596	Chr5B	479166027	479167680	-	479166853	1.0	0.986	collinear
gene:TraesCS7B03G0011700	Chr7B	3081146	3082585	+	3081865	Chr5B	478928790	478930229	-	478929509	1.0	1.0	collinear
gene:TraesCS7B03G0011800	Chr7B	3116205	3118160	+	3117182	Chr5B	478891717	478893672	-	478892694	1.0	1.0	collinear
gene:TraesCS7B03G0012000	Chr7B	3221369	3227272	-	3224320	Chr5B	478780545	478786448	+	478783496	1.0	1.0	collinear
gene:TraesCS7B03G0012200	Chr7B	3242585	3251280	-	3246932	Chr5B	478756441	478765136	+	478760788	1.0	1.0	collinear
