gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	tgt_chr	tgt_start	tgt_end	tgt_strand	tgt_midpoint	coverage	identity	segment
gene:TraesCS1A03G0004000	Chr1A	1142826	1144427	+	1143626	Chr1A	5210597	5211978	-	5211287	0.987	0.956	collinear
gene:TraesCS1A03G0004200	Chr1A	1157430	1161066	-	1159248	Chr1A	5193025	5196353	+	5194689	0.991	0.959	collinear
gene:TraesCS1A03G0004400	Chr1A	1168201	1175228	+	1171714	Chr1A	5178279	5185489	-	5181884	0.998	0.968	collinear
gene:TraesCS1A03G0004900	Chr1A	1207566	1210657	-	1209111	Chr1A	5158156	5161200	+	5159678	0.949	0.909	collinear
gene:TraesCS1A03G0005000	Chr1A	1226759	1227184	-	1226971	Chr1A	5153743	5154171	+	5153957	1.0	0.969	collinear
gene:TraesCS1A03G0005200	Chr1A	1230199	1236314	-	1233256	Chr1A	5141449	5147623	+	5144536	0.994	0.964	collinear
gene:TraesCS1A03G0005600	Chr1A	1334686	1346171	-	1340428	Chr1A	5048095	5059609	+	5053852	0.981	0.963	collinear
gene:TraesCS1A03G0008500	Chr1A	2058909	2060171	-	2059540	Chr1A	3513807	3515069	+	3514438	1.0	0.941	collinear
gene:TraesCS1A03G0008400	Chr1A	2058909	2060171	-	2059540	Chr1A	3513807	3515069	+	3514438	1.0	0.941	collinear
gene:TraesCS1A03G0008600	Chr1A	2058909	2060171	-	2059540	Chr1A	3513807	3515069	+	3514438	1.0	0.941	collinear
gene:TraesCS1A03G0008300	Chr1A	2058909	2060171	-	2059540	Chr1A	3513807	3515069	+	3514438	1.0	0.941	collinear
gene:TraesCS1A03G0010900	Chr1A	3089925	3090365	-	3090145	Chr1A	2646849	2647258	+	2647053	0.929	0.913	collinear
gene:TraesCS1A03G0013100	Chr1A	3442853	3443320	-	3443086	Chr1A	6575146	6575613	-	6575379	1.0	0.997	collinear
gene:TraesCS1A03G0013400	Chr1A	3543536	3549092	-	3546314	Chr1A	6698039	6703606	-	6700822	1.0	0.99	collinear
gene:TraesCS1A03G0013600	Chr1A	3563033	3568128	-	3565580	Chr1A	6718154	6723812	-	6720983	1.0	0.993	collinear
gene:TraesCS1A03G0013800	Chr1A	3736743	3743503	-	3740123	Chr1A	6945245	6951983	-	6948614	1.0	0.986	collinear
gene:TraesCS1A03G0013900	Chr1A	3747551	3750600	+	3749075	Chr1A	6955999	6959048	+	6957523	1.0	0.985	collinear
gene:TraesCS1A03G0014300	Chr1A	3927688	3931188	+	3929438	Chr1A	7015220	7018717	+	7016968	0.998	0.994	collinear
gene:TraesCS1A03G0014400	Chr1A	3927688	3931514	+	3929601	Chr1A	7015220	7019043	+	7017131	0.999	0.993	collinear
gene:TraesCS1A03G0014500	Chr1A	3935056	3938039	+	3936547	Chr1A	7022600	7025106	+	7023853	1.0	0.993	collinear
gene:TraesCS1A03G0015600	Chr1A	4110192	4111500	+	4110846	Chr1A	7102572	7103897	+	7103234	0.985	0.913	collinear
gene:TraesCS1A03G0016000	Chr1A	4248617	4255576	-	4252096	Chr1A	7173972	7180452	-	7177212	0.941	0.925	collinear
gene:TraesCS1A03G0016200	Chr1A	4370836	4376697	+	4373766	Chr1A	7209606	7215677	+	7212641	0.985	0.953	collinear
gene:TraesCS1A03G0016300	Chr1A	4379285	4384806	-	4382045	Chr1A	7219453	7224931	-	7222192	1.0	0.989	collinear
gene:TraesCS1A03G0016400	Chr1A	4439929	4443198	+	4441563	Chr1A	7261192	7264469	+	7262830	0.987	0.954	collinear
gene:TraesCS1A03G0016500	Chr1A	4444852	4447770	-	4446311	Chr1A	7277167	7280072	-	7278619	0.995	0.987	collinear
gene:TraesCS1A03G0017400	Chr1A	4524156	4525613	-	4524884	Chr1A	7030172	7031632	+	7030902	1.0	0.916	collinear
gene:TraesCS1A03G0017500	Chr1A	4570594	4574086	-	4572340	Chr1A	7546416	7549848	-	7548132	0.981	0.94	collinear
gene:TraesCS1A03G0018800	Chr1A	4668102	4669750	-	4668926	Chr1A	7561599	7563247	-	7562423	1.0	0.993	collinear
gene:TraesCS1A03G0018900	Chr1A	4688180	4690620	-	4689400	Chr1A	7569293	7571733	-	7570513	1.0	0.988	collinear
gene:TraesCS1A03G0019200	Chr1A	4764892	4765791	+	4765341	Chr1A	7622188	7623153	+	7622670	1.0	0.915	collinear
gene:TraesCS1A03G0019600	Chr1A	4833835	4834480	-	4834157	Chr1A	7662529	7663147	-	7662838	0.958	0.941	collinear
gene:TraesCS1A03G0020400	Chr1A	5018187	5019044	+	5018615	Chr1A	7762551	7763408	+	7762979	1.0	0.99	collinear
gene:TraesCS1A03G0020500	Chr1A	5026172	5027029	+	5026600	Chr1A	7754870	7755727	+	7755298	1.0	0.986	collinear
gene:TraesCS1A03G0020600	Chr1A	5030561	5033532	+	5032046	Chr1A	7770056	7773090	+	7771573	0.979	0.925	collinear
gene:TraesCS1A03G0020700	Chr1A	5032814	5033138	-	5032976	Chr1A	7772382	7772718	-	7772550	1.0	0.961	collinear
gene:TraesCS1A03G0020800	Chr1A	5038069	5038671	+	5038370	Chr1A	7777132	7777734	+	7777433	1.0	0.995	collinear
