gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS5D03G0012500	Chr5D	4781972	4785327	+	4783649	Chr5D	1631039	1634394	-	1632716	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0012700	Chr5D	4872332	4872634	+	4872483	Chr5D	1544374	1544676	-	1544525	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0013000	Chr5D	4874080	4874303	-	4874191	Chr5D	1542705	1542928	+	1542816	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014100	Chr5D	4882647	4883390	+	4883018	Chr5D	1534653	1535396	-	1535024	1.0	0.998	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014300	Chr5D	4884121	4884294	-	4884207	Chr5D	1533749	1533922	+	1533835	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014400	Chr5D	4884966	4885211	+	4885088	Chr5D	1532828	1533073	-	1532950	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014500	Chr5D	4886766	4887029	+	4886897	Chr5D	1531010	1531273	-	1531141	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014600	Chr5D	4887121	4888287	+	4887704	Chr5D	1529752	1530918	-	1530335	1.0	0.999	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014800	Chr5D	4891913	4894165	-	4893039	Chr5D	1523874	1526126	+	1525000	1.0	0.999	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015100	Chr5D	4897812	4898401	-	4898106	Chr5D	1519638	1520227	+	1519932	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015300	Chr5D	4901060	4901539	-	4901299	Chr5D	1516499	1516978	+	1516738	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015400	Chr5D	4901640	4902071	-	4901855	Chr5D	1515967	1516398	+	1516182	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015500	Chr5D	4902366	4902728	-	4902547	Chr5D	1515310	1515672	+	1515491	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015700	Chr5D	4904704	4905117	-	4904910	Chr5D	1512921	1513334	+	1513127	1.0	0.997	rearrangement:Chr5D_block1
gene:TraesCS5D03G0016000	Chr5D	4919446	4920810	+	4920128	Chr5D	1497204	1498568	-	1497886	1.0	1.0	rearrangement:Chr5D_block1
