cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr6B	304323	109698670	Chr6B	48825	104349481	968	0.9912696280991735
Chr6B	112206304	113496703	Chr6B	107726671	108996512	5	0.9966000000000002
Chr6B	118675045	244322078	Chr6B	112136980	240757730	746	0.992823056300268
Chr6B	280387366	289129738	Chr6B	268138192	276653338	39	0.9961538461538462
Chr6B	292829101	296744918	Chr6B	280491639	284774560	17	0.9949411764705883
Chr6B	305947992	308701890	Chr6B	296666751	302246585	8	0.999375
Chr6B	323344757	326346003	Chr6B	312508254	315493022	5	0.9978
Chr6B	349642328	349949438	Chr6B	343284903	343562416	3	0.9953333333333333
Chr6B	380913451	382866904	Chr6B	368086503	370071091	4	0.99475
Chr6B	410641112	432650099	Chr6B	402036323	423928026	56	0.9974464285714285
Chr6B	438515907	449326149	Chr6B	424730896	435524467	50	0.99822
Chr6B	452819490	486984757	Chr6B	439042386	472634631	177	0.9967740112994349
Chr6B	502556445	507279716	Chr6B	489543382	494230488	22	0.9997272727272727
Chr6B	524252260	629148387	Chr6B	509594157	614029354	641	0.9970920436817472
Chr6B	631157333	635284956	Chr6B	615924254	619978635	31	0.9935806451612904
Chr6B	638657051	731065543	Chr6B	622485007	716337089	925	0.990705945945946
