cs_chr	cs_start	cs_end	tgt_chr	tgt_start	tgt_end	n_anchors	mean_identity
Chr5A	1543362	5598537	Chr5A	3032335	7136809	57	0.9939649122807018
Chr5A	8779246	62409843	Chr5A	8077217	62904608	461	0.9966963123644251
Chr5A	65256920	152899436	Chr5A	66117060	153533041	406	0.9990862068965518
Chr5A	156754150	160718182	Chr5A	157401543	161396589	13	0.9998461538461539
Chr5A	163084098	171972235	Chr5A	163765088	172693776	23	0.9997826086956522
Chr5A	174235485	182449906	Chr5A	174961400	182796741	13	0.9999230769230769
Chr5A	184871905	187078746	Chr5A	185215619	187414907	4	1.0
Chr5A	192446609	200581324	Chr5A	192739549	200881814	16	0.998875
Chr5A	204816399	224020772	Chr5A	205122288	224232531	33	0.9996666666666668
Chr5A	226098410	235234740	Chr5A	226315324	235517077	24	0.9998333333333335
Chr5A	240640429	242857829	Chr5A	243235582	245462233	5	0.9996
Chr5A	299330270	428812755	Chr5A	300250004	429095020	784	0.9985063775510203
Chr5A	431918117	713328361	Chr5A	429390838	710099676	3169	0.9953594193751972
