gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS4A03G0000100	Chr4A	80751	81905	-	81328	Chr4A	515783	516937	-	516360	1.0	0.999	collinear
gene:TraesCS4A03G0000200	Chr4A	186233	189459	+	187846	Chr4A	622194	625420	+	623807	1.0	1.0	collinear
gene:TraesCS4A03G0000300	Chr4A	189629	191253	-	190441	Chr4A	625591	627215	-	626403	1.0	1.0	collinear
gene:TraesCS4A03G0000700	Chr4A	192479	193797	-	193138	Chr4A	628441	629759	-	629100	1.0	1.0	collinear
gene:TraesCS4A03G0000800	Chr4A	204132	208744	+	206438	Chr4A	640097	644714	+	642405	1.0	1.0	collinear
gene:TraesCS4A03G0000900	Chr4A	464377	473615	+	468996	Chr4A	900264	909636	+	904950	1.0	1.0	collinear
gene:TraesCS4A03G0001000	Chr4A	527393	528028	-	527710	Chr4A	963415	964050	-	963732	1.0	1.0	collinear
gene:TraesCS4A03G0001100	Chr4A	724229	730229	-	727229	Chr4A	1146557	1152622	-	1149589	1.0	1.0	collinear
gene:TraesCS4A03G0001300	Chr4A	737645	742881	-	740263	Chr4A	1159875	1165111	-	1162493	1.0	0.999	collinear
gene:TraesCS4A03G0001500	Chr4A	879654	880180	+	879917	Chr4A	1299298	1299824	+	1299561	1.0	1.0	collinear
gene:TraesCS4A03G0001600	Chr4A	890746	894177	+	892461	Chr4A	1310389	1313812	+	1312100	0.997	0.997	collinear
gene:TraesCS4A03G0001700	Chr4A	899296	900070	+	899683	Chr4A	1319002	1319776	+	1319389	1.0	1.0	collinear
gene:TraesCS4A03G0001800	Chr4A	923950	925283	-	924616	Chr4A	1343745	1345078	-	1344411	1.0	1.0	collinear
gene:TraesCS4A03G0001900	Chr4A	1067430	1067825	+	1067627	Chr4A	1482623	1483018	+	1482820	1.0	1.0	collinear
gene:TraesCS4A03G0002000	Chr4A	1144047	1145891	-	1144969	Chr4A	1553427	1555273	-	1554350	1.0	0.998	collinear
gene:TraesCS4A03G0002100	Chr4A	1219342	1222566	+	1220954	Chr4A	1629521	1632745	+	1631133	1.0	1.0	collinear
gene:TraesCS4A03G0002200	Chr4A	1519322	1519796	-	1519559	Chr4A	1927484	1927958	-	1927721	1.0	1.0	collinear
gene:TraesCS4A03G0002600	Chr4A	1720645	1723263	+	1721954	Chr4A	2128791	2131409	+	2130100	1.0	1.0	collinear
gene:TraesCS4A03G0002900	Chr4A	1872733	1874596	-	1873664	Chr4A	2281608	2283459	-	2282533	1.0	1.0	collinear
gene:TraesCS4A03G0003000	Chr4A	1876368	1884930	-	1880649	Chr4A	2285253	2293815	-	2289534	1.0	1.0	collinear
gene:TraesCS4A03G0003100	Chr4A	1887453	1896045	-	1891749	Chr4A	2296337	2305021	-	2300679	1.0	1.0	collinear
gene:TraesCS4A03G0003200	Chr4A	1904683	1907590	-	1906136	Chr4A	2313849	2316756	-	2315302	1.0	1.0	collinear
gene:TraesCS4A03G0003300	Chr4A	1908725	1910020	-	1909372	Chr4A	2317891	2319186	-	2318538	1.0	1.0	collinear
gene:TraesCS4A03G0003600	Chr4A	2034845	2039676	-	2037260	Chr4A	2443736	2448567	-	2446151	1.0	0.999	collinear
gene:TraesCS4A03G0003800	Chr4A	2144567	2151745	-	2148156	Chr4A	2553634	2560632	-	2557133	1.0	1.0	collinear
gene:TraesCS4A03G0004000	Chr4A	2396423	2406197	+	2401310	Chr4A	2808976	2818610	+	2813793	1.0	1.0	collinear
gene:TraesCS4A03G0004100	Chr4A	2407157	2412110	-	2409633	Chr4A	2819570	2824523	-	2822046	1.0	0.999	collinear
gene:TraesCS4A03G0004200	Chr4A	2539821	2543289	-	2541555	Chr4A	2951742	2955210	-	2953476	1.0	1.0	collinear
gene:TraesCS4A03G0004300	Chr4A	2549120	2550253	-	2549686	Chr4A	2961049	2962182	-	2961615	1.0	1.0	collinear
gene:TraesCS4A03G0004700	Chr4A	2613805	2615102	+	2614453	Chr4A	3025858	3027155	+	3026506	1.0	1.0	collinear
gene:TraesCS4A03G0004800	Chr4A	2630028	2631685	-	2630856	Chr4A	3042215	3043872	-	3043043	1.0	1.0	collinear
gene:TraesCS4A03G0004900	Chr4A	2636507	2637932	-	2637219	Chr4A	3048444	3049869	-	3049156	1.0	1.0	collinear
gene:TraesCS4A03G0005100	Chr4A	2731327	2733151	+	2732239	Chr4A	3142986	3144810	+	3143898	1.0	1.0	collinear
gene:TraesCS4A03G0005200	Chr4A	2767289	2768680	+	2767984	Chr4A	3179017	3180408	+	3179712	1.0	1.0	collinear
