cs_chr	cs_start	cs_end	tgt_chr	tgt_start	tgt_end	n_anchors	mean_identity
Chr2A	254644	237897856	Chr2A	257743	232299066	2116	0.9961526465028357
Chr2A	260439994	260738141	Chr2A	254983002	255258360	4	0.998
Chr2A	283478083	286214975	Chr2A	277082058	279858757	5	0.9986
Chr2A	288400047	290885926	Chr2A	282126831	284726043	5	0.9966000000000002
Chr2A	293418889	298305444	Chr2A	287246471	292083362	7	0.9911428571428572
Chr2A	304709700	310989480	Chr2A	299004014	305435594	6	0.9954999999999999
Chr2A	313973952	319393694	Chr2A	308433047	315177123	7	0.9908571428571429
Chr2A	322290657	328918706	Chr2A	318029334	324797476	12	0.9951666666666666
Chr2A	333879690	342646626	Chr2A	327302049	335775298	34	0.9926470588235294
Chr2A	344692562	346909488	Chr2A	342988437	345363298	4	0.9982500000000001
Chr2A	350360259	366697851	Chr2A	347154129	365342762	28	0.9961785714285715
Chr2A	368718225	370743262	Chr2A	366730232	368808413	8	0.99775
Chr2A	373176288	399870506	Chr2A	371237508	397258451	90	0.9955555555555555
Chr2A	404353227	404860525	Chr2A	401731885	402208987	4	0.99525
Chr2A	409607272	490304153	Chr2A	406883505	487536115	269	0.9967992565055762
Chr2A	492634434	551591979	Chr2A	489866307	547827779	314	0.9956337579617833
Chr2A	553651491	787195035	Chr2A	549904174	784503342	2516	0.995547694753577
