gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS7A03G0006900	Chr7A	1705137	1706808	+	1705972	Chr7A	11955211	11956882	-	11956046	1.0	1.0	collinear
gene:TraesCS7A03G0007000	Chr7A	1709690	1715064	+	1712377	Chr7A	11947517	11952329	-	11949923	1.0	0.997	collinear
gene:TraesCS7A03G0007100	Chr7A	1716639	1726072	-	1721355	Chr7A	11936509	11945942	+	11941225	1.0	1.0	collinear
gene:TraesCS7A03G0007200	Chr7A	1727345	1733016	+	1730180	Chr7A	11929565	11935236	-	11932400	1.0	1.0	collinear
gene:TraesCS7A03G0007300	Chr7A	1733546	1738771	-	1736158	Chr7A	11923810	11929035	+	11926422	1.0	1.0	collinear
gene:TraesCS7A03G0007400	Chr7A	1757255	1763142	-	1760198	Chr7A	11900409	11906296	+	11903352	1.0	1.0	collinear
gene:TraesCS7A03G0007600	Chr7A	1963947	1966400	-	1965173	Chr7A	11722862	11725315	+	11724088	1.0	0.999	collinear
gene:TraesCS7A03G0007500	Chr7A	1963777	1966710	-	1965243	Chr7A	11722552	11725485	+	11724018	1.0	0.999	collinear
gene:TraesCS7A03G0007700	Chr7A	1984711	1990302	-	1987506	Chr7A	11658313	11663904	+	11661108	1.0	1.0	collinear
gene:TraesCS7A03G0007800	Chr7A	1991641	1995052	-	1993346	Chr7A	11653563	11656974	+	11655268	1.0	1.0	collinear
gene:TraesCS7A03G0007900	Chr7A	1999166	2001559	+	2000362	Chr7A	11647057	11649450	-	11648253	1.0	1.0	collinear
gene:TraesCS7A03G0008000	Chr7A	2002174	2006210	-	2004192	Chr7A	11642406	11646442	+	11644424	1.0	0.998	collinear
gene:TraesCS7A03G0008400	Chr7A	2059191	2064602	+	2061896	Chr7A	11583637	11589046	-	11586341	0.999	0.999	collinear
gene:TraesCS7A03G0008800	Chr7A	2119023	2128730	+	2123876	Chr7A	11512773	11522480	-	11517626	1.0	1.0	collinear
gene:TraesCS7A03G0008900	Chr7A	2129337	2139216	-	2134276	Chr7A	11502279	11512166	+	11507222	1.0	1.0	collinear
gene:TraesCS7A03G0009400	Chr7A	2212604	2213952	+	2213278	Chr7A	11427214	11428562	-	11427888	1.0	1.0	collinear
gene:TraesCS7A03G0009500	Chr7A	2226887	2230792	+	2228839	Chr7A	11410450	11414378	-	11412414	1.0	0.993	collinear
gene:TraesCS7A03G0009800	Chr7A	2248242	2252867	-	2250554	Chr7A	11389785	11394410	+	11392097	1.0	0.999	collinear
gene:TraesCS7A03G0010100	Chr7A	2684032	2686882	-	2685457	Chr7A	10988061	10990911	+	10989486	1.0	1.0	collinear
gene:TraesCS7A03G0010200	Chr7A	2703204	2713801	+	2708502	Chr7A	10961043	10971741	-	10966392	1.0	1.0	collinear
gene:TraesCS7A03G0010400	Chr7A	2735543	2735899	+	2735721	Chr7A	10938824	10939180	-	10939002	1.0	0.997	collinear
gene:TraesCS7A03G0010300	Chr7A	2734989	2736987	-	2735988	Chr7A	10937736	10939734	+	10938735	1.0	0.999	collinear
gene:TraesCS7A03G0010500	Chr7A	2738438	2740210	-	2739324	Chr7A	10934513	10936285	+	10935399	1.0	0.999	collinear
gene:TraesCS7A03G0010800	Chr7A	2805162	2809572	+	2807367	Chr7A	10865227	10869637	-	10867432	1.0	1.0	collinear
gene:TraesCS7A03G0011100	Chr7A	2813248	2819925	-	2816586	Chr7A	10854871	10861548	+	10858209	1.0	1.0	collinear
gene:TraesCS7A03G0011200	Chr7A	2825033	2831859	-	2828446	Chr7A	10842940	10849766	+	10846353	1.0	1.0	collinear
gene:TraesCS7A03G0011300	Chr7A	2845787	2850612	+	2848199	Chr7A	10824351	10829171	-	10826761	0.998	0.998	collinear
gene:TraesCS7A03G0011400	Chr7A	2873620	2878318	+	2875969	Chr7A	10796644	10801342	-	10798993	1.0	0.999	collinear
gene:TraesCS7A03G0011700	Chr7A	2894350	2897746	+	2896048	Chr7A	10777216	10780612	-	10778914	1.0	0.999	collinear
gene:TraesCS7A03G0011800	Chr7A	2904302	2905750	+	2905026	Chr7A	10769211	10770659	-	10769935	1.0	1.0	collinear
gene:TraesCS7A03G0012000	Chr7A	2929298	2936550	-	2932924	Chr7A	10738581	10745867	+	10742224	1.0	1.0	collinear
gene:TraesCS7A03G0012100	Chr7A	2940653	2942001	+	2941327	Chr7A	10733072	10734420	-	10733746	1.0	1.0	collinear
gene:TraesCS7A03G0012300	Chr7A	2956906	2960802	+	2958854	Chr7A	10714243	10718165	-	10716204	1.0	0.989	collinear
