cs_chr	cs_start	cs_end	tgt_chr	tgt_start	tgt_end	n_anchors	mean_identity
Chr1B	3758523	22897803	Chr1B	3704	17990936	272	0.983485294117647
Chr1B	24998735	31339892	Chr1B	13232089	25074749	54	0.9865370370370371
Chr1B	34045861	38402288	Chr1B	26415753	31141260	29	0.9933793103448276
Chr1B	40611674	81974218	Chr1B	32335707	73113140	280	0.9938571428571428
Chr1B	86536803	91210816	Chr1B	77722669	82387921	17	0.995764705882353
Chr1B	93699444	162293240	Chr1B	84876443	156326677	348	0.9935919540229885
Chr1B	164433800	224268457	Chr1B	157044351	216679319	198	0.998469696969697
Chr1B	226868456	237708948	Chr1B	219244529	230064335	15	0.9990666666666667
Chr1B	240313663	244692138	Chr1B	232661642	237150243	7	0.9987142857142857
Chr1B	246841035	249142619	Chr1B	241881458	244320694	6	0.9998333333333335
Chr1B	251958660	272283175	Chr1B	249550192	271947341	50	0.9993000000000001
Chr1B	274419536	286636153	Chr1B	274059058	286133303	45	0.9989111111111111
Chr1B	288876286	296088628	Chr1B	288616373	295935265	29	0.993103448275862
Chr1B	298738700	298817103	Chr1B	298620989	298672472	5	0.9896
Chr1B	301350787	324212763	Chr1B	300966843	328155668	86	0.9863139534883721
Chr1B	328166615	352578955	Chr1B	328549701	354150499	154	0.9942142857142856
Chr1B	354656789	501204253	Chr1B	356138992	502041282	874	0.9967459954233409
Chr1B	504718985	700084281	Chr1B	503401356	697009544	1707	0.9928148799062684
