cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr3B	213691	3411403	Chr3B	1533562	5777727	56	0.9897499999999999
Chr3B	5583193	36543510	Chr3B	6249602	47582811	449	0.993498886414254
Chr3B	38794586	85340142	Chr3B	47958590	96469762	490	0.9955020408163266
Chr3B	87718232	191189469	Chr3B	98819148	203236306	598	0.9966003344481607
Chr3B	193609697	195100861	Chr3B	205699449	207233285	11	0.9984545454545454
Chr3B	197792489	207735313	Chr3B	210052868	220005501	70	0.9961285714285713
Chr3B	212297313	215012163	Chr3B	224808074	227308010	11	0.9939090909090911
Chr3B	219342949	230195021	Chr3B	230535706	243739326	50	0.99264
Chr3B	235855911	277099960	Chr3B	249194100	291104712	196	0.9955867346938776
Chr3B	283596077	284678121	Chr3B	297917752	299026359	4	0.9935
Chr3B	289595308	296187942	Chr3B	299211431	309817825	7	0.9915714285714287
Chr3B	299132814	317625373	Chr3B	313255018	333462344	24	0.9964166666666667
Chr3B	322293448	338599491	Chr3B	338103325	355229912	24	0.9940833333333333
Chr3B	340796436	355438414	Chr3B	357418240	378346926	24	0.9955000000000002
Chr3B	360111849	367477711	Chr3B	378548018	386534617	16	0.9970625
Chr3B	370933637	467052960	Chr3B	391396029	490096768	501	0.9971117764471058
Chr3B	469640104	514129864	Chr3B	492654537	536121413	256	0.9937968749999999
Chr3B	519052799	804669074	Chr3B	536194354	832083721	2285	0.9948835886214443
Chr3B	807728039	818926471	Chr3B	834253521	847148654	161	0.998080745341615
Chr3B	821884607	830611341	Chr3B	841344310	861113858	102	0.9935686274509805
