cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr7D	710036	13887459	Chr7D	240270	14003113	206	0.9920873786407767
Chr7D	210218	480738	Chr7D	1630100	1899248	6	0.9991666666666666
Chr7D	14421585	277735513	Chr7D	15669222	286878058	2408	0.9989933554817276
Chr7D	282874482	285683864	Chr7D	288676373	291521842	5	0.9864
Chr7D	287902401	307163278	Chr7D	293725600	317155375	41	0.9990975609756098
Chr7D	309504249	313709460	Chr7D	319486927	323662644	11	1.0
Chr7D	318812712	321972400	Chr7D	325806232	329070094	6	1.0
Chr7D	324339077	340299388	Chr7D	331440472	347374138	19	0.9990526315789473
Chr7D	342405820	631639611	Chr7D	349431510	645852117	2411	0.9992082123600163
Chr7D	634576038	638667898	Chr7D	645905665	650045526	53	0.999188679245283
Chr7D	631685822	634455258	Chr7D	650161344	652925616	73	0.9995890410958904
