cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr7A	3781165	7065834	Chr7A	129903	2935538	39	0.9789487179487176
Chr7A	7825555	9364460	Chr7A	8173778	9522512	25	0.97688
Chr7A	10622879	11311351	Chr7A	10999687	11582437	12	0.9873333333333333
Chr7A	146678066	157400932	Chr7A	170904130	181957241	76	0.9953815789473682
Chr7A	162400342	171949346	Chr7A	155234002	165152809	92	0.9952065217391304
Chr7A	211205518	211732393	Chr7A	169329492	169893489	15	0.99
Chr7A	239629	2940332	Chr7A	3852666	7701984	39	0.9936923076923077
Chr7A	7584994	71670370	Chr7A	8011123	78879325	770	0.9929285714285714
Chr7A	73730871	146026136	Chr7A	81378077	154530616	685	0.9970627737226279
Chr7A	157596154	161996001	Chr7A	165487491	169314760	15	0.9942666666666666
Chr7A	171535728	311914665	Chr7A	182407958	321938252	683	0.9978257686676429
Chr7A	314415263	356369547	Chr7A	324422544	366623794	82	0.9987682926829269
Chr7A	359051136	360613751	Chr7A	369250505	370792732	3	0.999
Chr7A	362739671	388772773	Chr7A	375951120	403446279	38	0.9996315789473685
Chr7A	391904207	736698014	Chr7A	406566614	758979130	2549	0.9969976461357396
