cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr6D	43783	3274979	Chr6D	14320551	16938474	62	0.9954677419354839
Chr6D	9471847	11088507	Chr6D	12605093	14202042	39	0.9997179487179488
Chr6D	26351226	46873994	Chr6D	31568306	74712558	251	0.9994621513944223
Chr6D	50179900	164765103	Chr6D	75373570	193025963	878	0.9991047835990889
Chr6D	166779487	214550301	Chr6D	195035850	243064039	72	0.9987638888888889
Chr6D	216846232	227401287	Chr6D	246290722	256141056	15	0.9987333333333334
Chr6D	232122220	239805311	Chr6D	260836724	268464676	12	0.9940833333333333
Chr6D	242219199	280904417	Chr6D	270860972	311366942	144	0.9985416666666668
Chr6D	283156017	415028218	Chr6D	313594631	445085976	1030	0.9994611650485439
Chr6D	417690848	473516145	Chr6D	447744769	505789165	895	0.9959039106145251
