cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr4D	739160	140903099	Chr4D	74014	143200423	1419	0.998907681465821
Chr4D	143579930	155648423	Chr4D	145858649	157856367	16	0.9998125
Chr4D	163412513	183387226	Chr4D	165634529	185669327	26	0.9999230769230769
Chr4D	188710899	192736636	Chr4D	192598467	196592702	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	198861403	202398580	7	0.9994285714285714
Chr4D	201443437	204732235	Chr4D	205710434	211720722	6	0.9998333333333335
Chr4D	206901645	212157624	Chr4D	212885587	218036401	21	0.998952380952381
Chr4D	214312396	228145178	Chr4D	220166945	233919162	23	0.9994782608695654
Chr4D	230482531	238626311	Chr4D	236114431	244408915	11	0.9996363636363637
Chr4D	240933419	248933627	Chr4D	246698985	255541998	19	0.9993157894736842
Chr4D	251524682	256552996	Chr4D	258112502	263106506	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	265425311	267824802	6	1.0
Chr4D	263946972	268074619	Chr4D	270503213	274579365	7	0.9969999999999999
Chr4D	270654719	329311457	Chr4D	277155661	335836944	243	0.999037037037037
Chr4D	331638064	375735889	Chr4D	338142341	382218155	303	0.9993201320132012
Chr4D	377828182	410407878	Chr4D	384340448	420076461	238	0.9992689075630253
Chr4D	412715801	509853899	Chr4D	422843694	523934316	1160	0.9991163793103448
Chr4D	505700667	507006408	Chr4D	526016059	527340669	24	0.9997916666666667
