cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr2A	260548731	262579565	Chr2A	253344264	255439751	7	0.9994285714285713
Chr2A	265274570	273294992	Chr2A	243500833	252146206	16	0.9926250000000001
Chr2A	275352399	278919157	Chr2A	237810245	241339336	18	0.9967777777777778
Chr2A	335804688	338546598	Chr2A	332513423	335376365	19	0.9950526315789475
Chr2A	342544978	348246088	Chr2A	358948363	364564033	10	0.9953
Chr2A	366383663	367584181	Chr2A	364990676	366196729	4	0.997
Chr2A	354530162	358948890	Chr2A	348127226	352549250	5	0.99
Chr2A	360420161	360870089	Chr2A	371279201	371723968	5	0.9974000000000001
Chr2A	254112	233473266	Chr2A	250065	236985131	2102	0.9962183634633682
Chr2A	255910505	257868596	Chr2A	258253089	260155064	7	0.9972857142857142
Chr2A	278994740	281746218	Chr2A	282363300	285131009	5	0.9984
Chr2A	283944564	286439768	Chr2A	287382175	289964981	5	0.9966000000000002
Chr2A	288988301	293951072	Chr2A	292479375	297289199	7	0.9911428571428572
Chr2A	297253831	306682759	Chr2A	299600118	310545585	11	0.9977272727272726
Chr2A	309689781	315039543	Chr2A	313524452	320366670	7	0.9911428571428571
Chr2A	317947462	324619894	Chr2A	323194847	329940792	12	0.9952500000000001
Chr2A	331195967	335394528	Chr2A	335736682	339966665	10	0.9884000000000001
Chr2A	340608829	341927845	Chr2A	346032277	347583870	3	0.9983333333333334
Chr2A	349224718	353475914	Chr2A	353606525	357974080	10	0.9950999999999999
Chr2A	361383116	362444338	Chr2A	369651876	370728869	3	0.999
Chr2A	364470917	365284972	Chr2A	367412699	368262633	4	0.999
Chr2A	369216145	395710262	Chr2A	374139606	400161608	91	0.9957582417582417
Chr2A	398464297	398971793	Chr2A	404648351	405126416	4	0.99525
Chr2A	405468040	486499474	Chr2A	409804877	490691385	269	0.9967992565055762
Chr2A	488847564	547776466	Chr2A	493009439	550859347	313	0.9965207667731628
Chr2A	562508802	566210805	Chr2A	568814101	572512639	29	0.9965172413793103
Chr2A	582840575	761027623	Chr2A	585959569	767237486	1984	0.996171875
Chr2A	766397133	767139024	Chr2A	774463214	774862046	5	0.9549999999999998
Chr2A	773220218	773563132	Chr2A	782919519	783254055	6	1.0
Chr2A	549288612	562105405	Chr2A	572913051	585651068	98	0.9994081632653062
Chr2A	775308617	780777724	Chr2A	767375535	774389332	77	0.9786883116883118
