cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr2B	3773119	4846257	Chr2B	153378	1510369	26	0.992576923076923
Chr2B	11180525	11237488	Chr2B	5023	71812	4	0.99125
Chr2B	4884794	6379971	Chr2B	3682939	5114278	36	0.9806111111111109
Chr2B	7436144	9105360	Chr2B	6589691	7708729	20	0.9771499999999997
Chr2B	15789034	18197239	Chr2B	14462863	16894855	20	0.9849499999999999
Chr2B	78827043	123101136	Chr2B	88441258	133175861	359	0.9943983286908077
Chr2B	362020345	368614818	Chr2B	377247858	383784051	19	0.9999473684210528
Chr2B	375133991	379787029	Chr2B	257964076	262597836	15	0.9999333333333333
Chr2B	10698	3310124	Chr2B	1654003	9483699	35	0.9846000000000001
Chr2B	6426412	16039153	Chr2B	5811905	15387169	66	0.9853333333333333
Chr2B	18262034	78103746	Chr2B	18359895	84157842	645	0.9916697674418604
Chr2B	129392470	202920401	Chr2B	134325165	207076810	547	0.9936819012797075
Chr2B	205644786	240314058	Chr2B	207175858	241793142	205	0.9966
Chr2B	242536523	270216010	Chr2B	244248241	277056916	129	0.9992093023255814
Chr2B	272550652	303097333	Chr2B	279397207	309911323	46	0.9996086956521739
Chr2B	305321036	318205778	Chr2B	312151297	325356160	16	0.9998125
Chr2B	320343927	333044217	Chr2B	327640324	341036975	21	0.999904761904762
Chr2B	335510269	342279112	Chr2B	343474379	350158259	8	0.9998750000000001
Chr2B	368956760	373498017	Chr2B	372409238	376907251	19	0.998
Chr2B	380259266	793530997	Chr2B	384507424	796987771	3106	0.9956580811332905
Chr2B	797110585	801254636	Chr2B	797262072	804518645	25	0.9548399999999998
