cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr5B	18796	149330732	Chr5B	155525	160222181	981	0.9960907237512742
Chr5B	152509380	167292122	Chr5B	162591645	178850530	25	0.9976
Chr5B	172629210	188797874	Chr5B	183747891	200301301	26	0.9947692307692308
Chr5B	191960322	192381573	Chr5B	203804088	204232117	3	0.9993333333333334
Chr5B	201287121	214936937	Chr5B	208291467	222989575	43	0.9988604651162791
Chr5B	219089253	236283952	Chr5B	238193497	255657840	69	0.9952753623188405
Chr5B	238316269	257532817	Chr5B	257457655	275952069	77	0.9991558441558441
Chr5B	259539413	341562322	Chr5B	277918921	360452882	499	0.9977274549098197
Chr5B	343826709	383208800	Chr5B	362675351	401889097	214	0.9975140186915888
Chr5B	386333053	412688052	Chr5B	402177058	428408503	201	0.9968557213930348
Chr5B	414828778	713118452	Chr5B	428866772	717285672	2964	0.9919210526315789
