cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr7B	34838	154814815	Chr7B	9945	156128646	1183	0.9966238377007607
Chr7B	298614274	304114007	Chr7B	296237608	301649350	11	1.0
Chr7B	310413787	312346354	Chr7B	303744899	305522191	4	1.0
Chr7B	357994137	389109218	Chr7B	350106223	385847570	134	0.99905223880597
Chr7B	391956637	405970176	Chr7B	388672732	402697076	52	0.9995192307692308
Chr7B	408568404	419042240	Chr7B	405273823	415949524	45	0.9998666666666667
Chr7B	421064524	541167218	Chr7B	417940796	538335580	774	0.9981989664082688
Chr7B	543188151	666617027	Chr7B	540319899	666443644	843	0.9953582443653618
Chr7B	668911115	690419526	Chr7B	666496939	693079867	138	0.9871159420289853
Chr7B	699136898	736138668	Chr7B	696377659	735230079	373	0.9879061662198391
Chr7B	738144856	750609249	Chr7B	737224008	750906912	161	0.9914658385093168
Chr7B	667070906	668269491	Chr7B	671116872	672292081	16	0.9938125
Chr7B	685667693	687103005	Chr7B	688430537	689836429	9	0.9935555555555555
Chr7B	690742198	693441193	Chr7B	693690575	696210703	29	0.9955172413793103
