gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity	segment
gene:TraesCS5B02G121100	Chr5B	216392658	216393155	+	216392906	Chr5B	206805740	206806237	-	206805988	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G121200	Chr5B	216394244	216399179	-	216396711	Chr5B	206799716	206804651	+	206802183	1.0	0.997	rearrangement:Chr5B_block1
gene:TraesCS5B02G121300	Chr5B	216399368	216404020	+	216401694	Chr5B	206794878	206799527	-	206797202	0.998	0.998	rearrangement:Chr5B_block1
gene:TraesCS5B02G121400	Chr5B	216649842	216653719	+	216651780	Chr5B	206549851	206553729	-	206551790	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G121500	Chr5B	216653222	216659535	-	216656378	Chr5B	206544051	206550348	+	206547199	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B02G121600	Chr5B	216829243	216863351	-	216846297	Chr5B	206340022	206374141	+	206357081	0.999	0.997	rearrangement:Chr5B_block1
gene:TraesCS5B02G000100	Chr5B	16235	21357	+	18796	Chr5B	5131956	5137090	-	5134523	0.998	0.981	collinear
gene:TraesCS5B02G000300	Chr5B	86983	88497	-	87740	Chr5B	4891538	4893052	+	4892295	1.0	0.997	collinear
gene:TraesCS5B02G000400	Chr5B	210112	215729	+	212920	Chr5B	4782693	4788316	-	4785504	0.998	0.996	collinear
gene:TraesCS5B02G000500	Chr5B	216278	219412	-	217845	Chr5B	4779011	4782171	+	4780591	0.995	0.978	collinear
gene:TraesCS5B02G000600	Chr5B	229215	233600	+	231407	Chr5B	4758217	4762362	-	4760289	0.999	0.997	collinear
gene:TraesCS5B02G000800	Chr5B	655778	658708	-	657243	Chr5B	5517722	5520661	-	5519191	1.0	0.989	collinear
gene:TraesCS5B02G000900	Chr5B	756821	758672	+	757746	Chr5B	5533979	5535833	+	5534906	1.0	0.993	collinear
gene:TraesCS5B02G001100	Chr5B	860861	865647	-	863254	Chr5B	5658301	5662791	-	5660546	1.0	0.984	collinear
gene:TraesCS5B02G001300	Chr5B	1579405	1579728	+	1579566	Chr5B	4202678	4203001	-	4202839	1.0	0.993	collinear
gene:TraesCS5B02G001600	Chr5B	2558977	2563902	-	2561439	Chr5B	1430859	1435618	+	1433238	1.0	1.0	collinear
gene:TraesCS5B02G001700	Chr5B	2570828	2574624	-	2572726	Chr5B	1420137	1423933	+	1422035	1.0	1.0	collinear
gene:TraesCS5B02G001800	Chr5B	2581312	2585281	+	2583296	Chr5B	1409479	1413448	-	1411463	1.0	1.0	collinear
gene:TraesCS5B02G001900	Chr5B	2612913	2614391	-	2613652	Chr5B	1380698	1382176	+	1381437	1.0	1.0	collinear
gene:TraesCS5B02G002000	Chr5B	2805491	2806938	+	2806214	Chr5B	1168595	1170042	-	1169318	1.0	1.0	collinear
gene:TraesCS5B02G002100	Chr5B	2883487	2884992	+	2884239	Chr5B	1091356	1092861	-	1092108	1.0	1.0	collinear
gene:TraesCS5B02G002200	Chr5B	3449225	3449773	-	3449499	Chr5B	779162	779710	+	779436	1.0	1.0	collinear
gene:TraesCS5B02G002300	Chr5B	3474782	3475968	+	3475375	Chr5B	752972	754158	-	753565	1.0	1.0	collinear
gene:TraesCS5B02G002400	Chr5B	3849532	3862578	-	3856055	Chr5B	368486	380636	+	374561	1.0	1.0	collinear
gene:TraesCS5B02G002500	Chr5B	3867064	3867802	-	3867433	Chr5B	363262	364000	+	363631	1.0	1.0	collinear
