cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr1A	55218	403603	Chr1A	38666	399198	16	0.9935624999999999
Chr1A	1145133	1566591	Chr1A	1147896	1572401	10	0.9987
Chr1A	1662019	4063301	Chr1A	2445739	4801118	49	0.9956122448979593
Chr1A	4552264	159522669	Chr1A	5689759	167863813	1086	0.9954023941068141
Chr1A	161671479	177484497	Chr1A	170036352	185781622	31	0.9996774193548388
Chr1A	179530042	182122609	Chr1A	188120430	190694712	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	193484840	202018282	12	0.9998333333333335
Chr1A	200578799	202086777	Chr1A	209198863	210693889	5	1.0
Chr1A	204319371	209358469	Chr1A	212912796	217896370	7	0.9995714285714286
Chr1A	212017564	410154980	Chr1A	220394826	421194057	918	0.9963442265795207
Chr1A	412459137	420515127	Chr1A	423570701	432146226	23	0.996478260869565
Chr1A	423163477	587386282	Chr1A	433956842	603993800	1859	0.9963200645508339
Chr1A	589791962	593997588	Chr1A	604409914	608807765	43	0.9884883720930232
