cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr1A	79742	159522669	Chr1A	22961	160722346	1113	0.9947178796046722
Chr1A	161671479	177484497	Chr1A	162919710	178866619	31	0.9994193548387098
Chr1A	179530042	182122609	Chr1A	180978356	183479179	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	186352491	194751643	12	0.99975
Chr1A	200578799	202086777	Chr1A	201805741	203292097	5	1.0
Chr1A	204319371	209358469	Chr1A	205579197	210652981	7	0.9998571428571429
Chr1A	212017564	410154980	Chr1A	213613628	419007475	914	0.9961586433260393
Chr1A	413790445	420515127	Chr1A	421466158	430115716	22	0.9964545454545454
Chr1A	423163477	547507742	Chr1A	431948423	555904168	1219	0.9944126333059884
Chr1A	571987978	593997588	Chr1A	582417905	604807053	309	0.9932330097087378
