cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	34168	143233659	1401	0.9988372591006425
Chr4D	143579930	155648423	Chr4D	145934600	158081743	15	0.9997333333333334
Chr4D	163412513	168197817	Chr4D	165647456	170478332	7	0.9997142857142858
Chr4D	170227644	183387226	Chr4D	172510658	185758696	18	0.9999444444444445
Chr4D	188710899	192736636	Chr4D	192326296	196449945	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	198728644	202284489	7	0.9997142857142858
Chr4D	201443437	212157624	Chr4D	205485714	216720494	28	0.9991785714285715
Chr4D	214312396	228145178	Chr4D	218941533	232864973	23	0.9996956521739131
Chr4D	230482531	238626311	Chr4D	235077224	243509067	11	0.9996363636363637
Chr4D	240933419	248933627	Chr4D	245808674	253717615	14	0.9995
Chr4D	251524682	256552996	Chr4D	256318791	261364262	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	263680718	266098378	6	0.9998333333333335
Chr4D	263946972	268074619	Chr4D	268822963	272955775	7	0.9982857142857142
Chr4D	270654719	329311457	Chr4D	275533522	334742895	243	0.9988312757201646
Chr4D	331638064	375735889	Chr4D	337089243	381358032	301	0.9995282392026579
Chr4D	377828182	410407878	Chr4D	383497327	416148175	236	0.9992966101694916
Chr4D	412715801	509853899	Chr4D	418485081	517381444	1145	0.9992235807860261
Chr4D	505700667	507006408	Chr4D	519408697	520728956	24	0.999875
