cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr2A	6302023	7227163	Chr2A	42633	991925	5	0.9894000000000001
Chr2A	333747658	338546598	Chr2A	326217312	331117221	31	0.9998709677419355
Chr2A	342544978	348246088	Chr2A	355910799	361656198	10	1.0
Chr2A	366383663	367584181	Chr2A	362085862	363289049	4	1.0
Chr2A	355457690	358948890	Chr2A	342118853	345717951	4	0.99975
Chr2A	360420161	360870089	Chr2A	368841996	369288748	5	0.9998000000000001
Chr2A	2917891	240818173	Chr2A	1235499	239367146	2082	0.9978083573487031
Chr2A	249151448	252091236	Chr2A	247810651	250775075	6	0.9996666666666667
Chr2A	255910505	258353437	Chr2A	254658710	257145465	8	0.99975
Chr2A	260548731	262579565	Chr2A	259390514	261413171	7	0.9998571428571429
Chr2A	265274570	273294992	Chr2A	264118067	272174088	16	0.99925
Chr2A	275352399	281746218	Chr2A	274246921	280500631	23	0.9999565217391305
Chr2A	283944564	286439768	Chr2A	282675806	285185339	5	0.9994
Chr2A	288988301	293951072	Chr2A	287744460	292728283	7	0.9997142857142858
Chr2A	297253831	300399162	Chr2A	296077068	299244624	4	1.0
Chr2A	303735420	306682759	Chr2A	302574701	305522781	6	1.0
Chr2A	309689781	315039543	Chr2A	308561079	314284209	7	0.9991428571428571
Chr2A	317947462	324619894	Chr2A	317238863	323973551	12	0.9999166666666667
Chr2A	329696283	332948364	Chr2A	333904506	337138732	7	1.0
Chr2A	349224718	354530162	Chr2A	350855514	354933777	10	0.9963000000000001
Chr2A	361383116	362444338	Chr2A	367265377	368323034	3	0.9736666666666668
Chr2A	364470917	365284972	Chr2A	364380704	365195131	4	1.0
Chr2A	367648828	395710262	Chr2A	370170559	398913276	93	0.999258064516129
Chr2A	398464297	398971793	Chr2A	403760648	404283578	4	1.0
Chr2A	405468040	486499474	Chr2A	408902159	490173133	275	0.9982690909090909
Chr2A	488847564	572061853	Chr2A	492540624	578389820	481	0.9962577962577961
Chr2A	576072282	758556884	Chr2A	579514972	765341883	1958	0.9968886618998978
Chr2A	773379851	773563132	Chr2A	783918120	784118252	3	0.9836666666666667
Chr2A	569200792	569586845	Chr2A	578703341	579103535	7	0.9937142857142858
Chr2A	572450542	573397130	Chr2A	586564854	587557205	15	0.9998
