cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr4B	234405	83143343	Chr4B	754465	85319222	808	0.9967227722772277
Chr4B	85363222	152088859	Chr4B	87584551	154982033	384	0.9990416666666667
Chr4B	154112314	161625531	Chr4B	156975489	164437262	12	0.9982500000000001
Chr4B	163837175	203850975	Chr4B	167029913	208155072	177	0.9984067796610171
Chr4B	206794132	223387060	Chr4B	211156446	227810629	43	0.9996046511627908
Chr4B	226512235	230010047	Chr4B	230982365	234499028	4	1.0
Chr4B	237910523	243643991	Chr4B	242346240	248133860	8	0.9998750000000001
Chr4B	295046802	296948857	Chr4B	300096784	301880290	3	1.0
Chr4B	299559143	302859664	Chr4B	304565698	308893367	5	0.999
Chr4B	305479702	317762138	Chr4B	309648172	322011076	33	0.9997878787878789
Chr4B	322661593	324977743	Chr4B	332864456	335175702	6	0.9981666666666666
Chr4B	327191689	330784063	Chr4B	337191930	340786231	8	1.0
Chr4B	333372518	335941430	Chr4B	343445225	346031882	5	0.999
Chr4B	338426211	352152996	Chr4B	348538061	362106965	21	0.9982857142857144
Chr4B	357909130	429353205	Chr4B	367070470	438683326	335	0.9976776119402985
Chr4B	431793129	673534850	Chr4B	441096080	687286933	1799	0.9961506392440245
