cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr7A	126579136	128829629	Chr7A	175632213	177937464	41	0.9968780487804878
Chr7A	146678066	147070247	Chr7A	187078419	187455848	6	0.9965
Chr7A	147911606	152833534	Chr7A	180997304	186121012	44	0.9955454545454547
Chr7A	154063511	154562540	Chr7A	178710491	179208260	6	0.9961666666666668
Chr7A	171535728	177331481	Chr7A	187684805	193599023	41	0.9942195121951221
Chr7A	169954037	171949346	Chr7A	148049837	150191621	19	0.993157894736842
Chr7A	177344152	186096627	Chr7A	150982515	160161764	51	0.9999019607843138
Chr7A	211205518	211732393	Chr7A	163555478	164156802	17	0.9884117647058824
Chr7A	239629	71670370	Chr7A	301686	75488909	837	0.9903512544802867
Chr7A	73730871	126196546	Chr7A	77087092	130507994	497	0.9967102615694166
Chr7A	128898150	146026136	Chr7A	130667403	147301064	134	0.993768656716418
Chr7A	155259694	169311246	Chr7A	160269259	175583321	108	0.9952685185185184
Chr7A	186515283	311914665	Chr7A	193715078	318115906	590	0.9978661016949152
Chr7A	314415263	356369547	Chr7A	320636686	362202200	79	0.9985949367088609
Chr7A	359051136	360613751	Chr7A	364920899	366584518	3	0.999
Chr7A	362739671	388772773	Chr7A	371783018	397636967	37	0.9994864864864865
Chr7A	391904207	736698014	Chr7A	400828754	747296503	2449	0.9951302572478563
