cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr7B	34838	36507841	Chr7B	45163	38033428	338	0.9952485207100592
Chr7B	39548352	169470795	Chr7B	39372842	174530420	903	0.9966223698781839
Chr7B	171985598	278933515	Chr7B	177069198	284293247	412	0.9986116504854369
Chr7B	281386105	295082068	Chr7B	286775082	301047852	21	0.998904761904762
Chr7B	312814982	335445231	Chr7B	319190661	341732305	79	0.9972531645569619
Chr7B	337929275	339223535	Chr7B	342592362	343706026	3	0.9973333333333333
Chr7B	357994137	389109218	Chr7B	358023371	393815542	132	0.998469696969697
Chr7B	391956637	405970176	Chr7B	396718740	410879858	52	0.9991153846153846
Chr7B	408568404	419042240	Chr7B	413499167	424107929	45	0.9998000000000001
Chr7B	421064524	541167218	Chr7B	426124132	546999127	772	0.9985440414507774
Chr7B	543188151	736138668	Chr7B	549041513	745035229	1457	0.994060398078243
Chr7B	738144856	750590753	Chr7B	746835950	755972771	53	0.9643207547169813
