gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity	segment
gene:TraesCS7A02G170600	Chr7A	126576805	126581468	+	126579136	Chr7A	177935133	177939796	-	177937464	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G170700	Chr7A	126592857	126594688	+	126593772	Chr7A	177922472	177924303	-	177923387	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G170800	Chr7A	126774064	126777420	-	126775742	Chr7A	177738784	177742139	+	177740461	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G170900	Chr7A	126784262	126785344	+	126784803	Chr7A	177731174	177732256	-	177731715	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G171000	Chr7A	126792563	126794701	-	126793632	Chr7A	177721932	177724070	+	177723001	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G171100	Chr7A	126860760	126862294	+	126861527	Chr7A	177653840	177655374	-	177654607	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G171200	Chr7A	126865055	126866769	+	126865912	Chr7A	177649365	177651079	-	177650222	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G171300	Chr7A	126908611	126909704	+	126909157	Chr7A	177607543	177608636	-	177608089	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G171500	Chr7A	126915751	126916413	-	126916082	Chr7A	177600834	177601496	+	177601165	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G171600	Chr7A	126917608	126919617	-	126918612	Chr7A	177597630	177599639	+	177598634	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G171700	Chr7A	126927408	126935829	-	126931618	Chr7A	177581740	177589839	+	177585789	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G171800	Chr7A	126944954	126949005	-	126946979	Chr7A	177568863	177572913	+	177570888	0.997	0.996	rearrangement:Chr7A_block1
gene:TraesCS7A02G171900	Chr7A	126951309	126957361	-	126954335	Chr7A	177560506	177566559	+	177563532	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G172000	Chr7A	126999546	127001639	-	127000592	Chr7A	177516499	177518592	+	177517545	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G172100	Chr7A	127003334	127003624	-	127003479	Chr7A	177514514	177514804	+	177514659	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G172200	Chr7A	127041698	127041988	-	127041843	Chr7A	177476663	177476953	+	177476808	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G172300	Chr7A	127045366	127050172	-	127047769	Chr7A	177468479	177473285	+	177470882	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G172400	Chr7A	127074569	127076078	-	127075323	Chr7A	177442570	177444079	+	177443324	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G172500	Chr7A	127347888	127348862	+	127348375	Chr7A	177148397	177149371	-	177148884	1.0	0.998	rearrangement:Chr7A_block1
gene:TraesCS7A02G172600	Chr7A	127370940	127373955	+	127372447	Chr7A	177124309	177127079	-	177125694	1.0	0.996	rearrangement:Chr7A_block1
gene:TraesCS7A02G172700	Chr7A	127570744	127577564	-	127574154	Chr7A	176945988	176952788	+	176949388	1.0	0.997	rearrangement:Chr7A_block1
gene:TraesCS7A02G172900	Chr7A	127594893	127602177	+	127598535	Chr7A	176921973	176929234	-	176925603	0.978	0.974	rearrangement:Chr7A_block1
gene:TraesCS7A02G173000	Chr7A	127607157	127610407	+	127608782	Chr7A	176913797	176917047	-	176915422	1.0	0.996	rearrangement:Chr7A_block1
gene:TraesCS7A02G173100	Chr7A	127666327	127667849	+	127667088	Chr7A	176853948	176855470	-	176854709	1.0	0.994	rearrangement:Chr7A_block1
gene:TraesCS7A02G173200	Chr7A	127674104	127677636	-	127675870	Chr7A	176844164	176847693	+	176845928	0.997	0.995	rearrangement:Chr7A_block1
gene:TraesCS7A02G173300	Chr7A	127767338	127776193	-	127771765	Chr7A	176728255	176737126	+	176732690	1.0	0.997	rearrangement:Chr7A_block1
gene:TraesCS7A02G173400	Chr7A	127824201	127829172	-	127826686	Chr7A	176676023	176680996	+	176678509	1.0	0.999	rearrangement:Chr7A_block1
gene:TraesCS7A02G173500	Chr7A	127833943	127840137	-	127837040	Chr7A	176663372	176670849	+	176667110	0.972	0.971	rearrangement:Chr7A_block1
gene:TraesCS7A02G173600	Chr7A	127906774	127907364	-	127907069	Chr7A	176540910	176541500	+	176541205	1.0	0.998	rearrangement:Chr7A_block1
gene:TraesCS7A02G173700	Chr7A	127909891	127910904	+	127910397	Chr7A	176537555	176538568	-	176538061	1.0	0.998	rearrangement:Chr7A_block1
gene:TraesCS7A02G174000	Chr7A	128048495	128051301	-	128049898	Chr7A	176405128	176407934	+	176406531	1.0	0.997	rearrangement:Chr7A_block1
gene:TraesCS7A02G174100	Chr7A	128148326	128150508	-	128149417	Chr7A	176288265	176290447	+	176289356	1.0	0.997	rearrangement:Chr7A_block1
gene:TraesCS7A02G174300	Chr7A	128300196	128301610	+	128300903	Chr7A	176131916	176133287	-	176132601	1.0	0.997	rearrangement:Chr7A_block1
gene:TraesCS7A02G174400	Chr7A	128392957	128394102	+	128393529	Chr7A	176069045	176070041	-	176069543	1.0	0.988	rearrangement:Chr7A_block1
gene:TraesCS7A02G174500	Chr7A	128404791	128406105	-	128405448	Chr7A	176057027	176058341	+	176057684	1.0	0.995	rearrangement:Chr7A_block1
gene:TraesCS7A02G174700	Chr7A	128509817	128511499	-	128510658	Chr7A	175957453	175959135	+	175958294	1.0	0.997	rearrangement:Chr7A_block1
gene:TraesCS7A02G174800	Chr7A	128512832	128514235	-	128513533	Chr7A	175954704	175956107	+	175955405	1.0	0.998	rearrangement:Chr7A_block1
gene:TraesCS7A02G174900	Chr7A	128741397	128756581	+	128748989	Chr7A	175703745	175718932	-	175711338	1.0	0.999	rearrangement:Chr7A_block1
gene:TraesCS7A02G175000	Chr7A	128774313	128776778	-	128775545	Chr7A	175683785	175686250	+	175685017	1.0	0.998	rearrangement:Chr7A_block1
gene:TraesCS7A02G175100	Chr7A	128780915	128784612	+	128782763	Chr7A	175675837	175679555	-	175677696	1.0	1.0	rearrangement:Chr7A_block1
gene:TraesCS7A02G175200	Chr7A	128826237	128833021	+	128829629	Chr7A	175628817	175635609	-	175632213	1.0	0.997	rearrangement:Chr7A_block1
gene:TraesCS7A02G189300	Chr7A	146677500	146678632	+	146678066	Chr7A	187455283	187456414	-	187455848	1.0	0.998	rearrangement:Chr7A_block4
gene:TraesCS7A02G189400	Chr7A	146676886	146680544	-	146678715	Chr7A	187453379	187457028	+	187455203	0.997	0.994	rearrangement:Chr7A_block4
