gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity	segment
gene:TraesCS6D02G000200	Chr6D	52444	52899	+	52671	Chr6D	1976526	1976981	-	1976753	1.0	0.982	collinear
gene:TraesCS6D02G000300	Chr6D	88938	95787	-	92362	Chr6D	1960482	1966400	+	1963441	0.924	0.918	collinear
gene:TraesCS6D02G001600	Chr6D	803603	804859	+	804231	Chr6D	1935269	1936545	-	1935907	1.0	0.998	collinear
gene:TraesCS6D02G001700	Chr6D	805537	807932	+	806734	Chr6D	1932196	1934591	-	1933393	1.0	0.997	collinear
gene:TraesCS6D02G001900	Chr6D	966786	967049	+	966917	Chr6D	1767428	1767691	-	1767559	1.0	0.981	collinear
gene:TraesCS6D02G002000	Chr6D	1068894	1071067	+	1069980	Chr6D	1678031	1680166	-	1679098	1.0	0.993	collinear
gene:TraesCS6D02G002100	Chr6D	1372775	1374424	+	1373599	Chr6D	1986746	1988395	+	1987570	1.0	0.978	collinear
gene:TraesCS6D02G002700	Chr6D	1571901	1572329	-	1572115	Chr6D	2345740	2346168	-	2345954	1.0	0.993	collinear
gene:TraesCS6D02G002800	Chr6D	1586179	1588895	+	1587537	Chr6D	2363144	2365859	+	2364501	0.998	0.991	collinear
gene:TraesCS6D02G002900	Chr6D	1627607	1628562	+	1628084	Chr6D	2412738	2413695	+	2413216	1.0	0.988	collinear
gene:TraesCS6D02G003000	Chr6D	1635743	1636654	+	1636198	Chr6D	2420881	2421792	+	2421336	1.0	0.985	collinear
gene:TraesCS6D02G003100	Chr6D	1760637	1761722	+	1761179	Chr6D	2558633	2559718	+	2559175	1.0	0.995	collinear
gene:TraesCS6D02G003200	Chr6D	1769875	1774534	-	1772204	Chr6D	2571266	2575937	-	2573601	1.0	0.998	collinear
gene:TraesCS6D02G003300	Chr6D	1779697	1784071	+	1781884	Chr6D	2581122	2584807	+	2582964	0.911	0.907	collinear
gene:TraesCS6D02G003400	Chr6D	1799042	1799976	-	1799509	Chr6D	2599784	2600718	-	2600251	1.0	0.998	collinear
gene:TraesCS6D02G003500	Chr6D	1902475	1903404	-	1902939	Chr6D	2769461	2770390	-	2769925	1.0	0.993	collinear
gene:TraesCS6D02G003600	Chr6D	1978190	1980764	+	1979477	Chr6D	2830994	2833548	+	2832271	0.995	0.99	collinear
gene:TraesCS6D02G003700	Chr6D	1996894	1997988	-	1997441	Chr6D	2867410	2868504	-	2867957	1.0	0.999	collinear
gene:TraesCS6D02G003800	Chr6D	2029651	2037184	+	2033417	Chr6D	2899338	2906556	+	2902947	1.0	0.999	collinear
gene:TraesCS6D02G003900	Chr6D	2047133	2051430	-	2049281	Chr6D	2916503	2920798	-	2918650	1.0	0.997	collinear
