cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr5A	403702416	404560344	Chr5A	395235801	396114104	12	0.9990000000000001
Chr5A	419207708	420239117	Chr5A	393102576	394135547	8	0.996625
Chr5A	421825196	423681500	Chr5A	433027111	434940247	18	0.9912222222222221
Chr5A	431744154	432445480	Chr5A	427144570	427842346	7	0.994
Chr5A	14293	60528080	Chr5A	14582	63813225	527	0.9951650853889943
Chr5A	63377052	151734470	Chr5A	66614549	155696501	399	0.9958095238095237
Chr5A	155555039	159534199	Chr5A	159653090	163694437	12	0.9998333333333335
Chr5A	161914114	180994113	Chr5A	166070005	185436613	37	0.9997567567567568
Chr5A	183430057	185651119	Chr5A	187893900	190150521	4	1.0
Chr5A	191038029	199222973	Chr5A	195603925	203905410	16	0.99875
Chr5A	203479442	222599127	Chr5A	208226873	227579755	33	0.9979090909090909
Chr5A	224689467	235244761	Chr5A	229681315	239579257	26	0.9998076923076924
Chr5A	237953593	248536470	Chr5A	240299700	255327521	32	0.9995937500000001
Chr5A	255610507	386183930	Chr5A	260685280	392911556	628	0.9990047770700637
Chr5A	389056643	402162710	Chr5A	397554052	410654029	107	0.9979158878504673
Chr5A	404992523	417906680	Chr5A	413829113	425880935	67	0.9943283582089553
Chr5A	426537435	430957438	Chr5A	428148659	432501756	43	0.9974883720930233
Chr5A	433009441	512459532	Chr5A	436929783	518309221	830	0.9964000000000001
Chr5A	515495492	709195222	Chr5A	518855961	714371199	2326	0.995878331900258
Chr5A	512627324	513255088	Chr5A	525914930	526524577	8	0.9941249999999999
Chr5A	513706073	514452679	Chr5A	524666921	525476758	15	0.9950666666666665
Chr5A	706865343	707532926	Chr5A	716741017	717403680	8	0.9995
