cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr1B	3574933	28817573	Chr1B	582515	27840471	66	0.9308181818181819
Chr1B	31125399	33987203	Chr1B	28440816	31166853	8	0.9273750000000001
Chr1B	36267903	70711709	Chr1B	14910826	63474769	89	0.9324831460674159
Chr1B	83207635	85434597	Chr1B	65173849	66354037	4	0.9315
Chr1B	90883736	101143601	Chr1B	67906355	96932628	29	0.9335862068965518
Chr1B	104348595	107134756	Chr1B	92243438	95574539	13	0.9230000000000002
Chr1B	109212217	123973559	Chr1B	88507197	109433717	36	0.9333333333333333
Chr1B	129507603	130640398	Chr1B	110122344	111013491	5	0.9382000000000001
Chr1B	149607420	150364496	Chr1B	131648149	132687777	3	0.9623333333333332
Chr1B	198486687	202009382	Chr1B	193931737	251575793	8	0.93525
Chr1B	237375422	240495157	Chr1B	264582904	288196962	4	0.988
Chr1B	242664448	243089038	Chr1B	288969102	289398886	3	0.999
Chr1B	245942911	259792468	Chr1B	295918248	309995047	23	0.9993043478260869
Chr1B	261843846	289694136	Chr1B	312048125	340581410	104	0.9989326923076924
Chr1B	292342566	292422556	Chr1B	343195570	343298802	5	0.9945999999999999
Chr1B	294946215	317917199	Chr1B	345835843	373101463	83	0.9885662650602408
Chr1B	322108938	689851652	Chr1B	373807950	748705611	2808	0.9952852564102564
