cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr3B	213691	85340142	Chr3B	474421	92602541	923	0.9889750812567715
Chr3B	87718232	191189469	Chr3B	95000783	200584974	584	0.9956181506849315
Chr3B	193609697	195100861	Chr3B	203105769	204688523	11	0.9984545454545454
Chr3B	197792489	207735313	Chr3B	207568619	217692511	77	0.994168831168831
Chr3B	212297313	215012163	Chr3B	222623248	225175502	11	0.9939090909090911
Chr3B	219342949	230195021	Chr3B	228484786	241989307	50	0.9925800000000001
Chr3B	235855911	277099960	Chr3B	247512923	289741110	195	0.9961692307692307
Chr3B	283596077	284393587	Chr3B	296653861	297533597	3	0.9983333333333334
Chr3B	292022415	296187942	Chr3B	303989866	308759675	4	0.9962500000000001
Chr3B	299132814	317625373	Chr3B	312394714	332870368	23	0.9962608695652173
Chr3B	322293448	337175323	Chr3B	337598439	353766707	23	0.9938695652173911
Chr3B	340796436	356211822	Chr3B	356603387	382044545	24	0.9951666666666666
Chr3B	358584653	363324584	Chr3B	384426245	389245865	10	0.9959
Chr3B	366151561	466686636	Chr3B	379146054	493033670	519	0.9956396917148361
Chr3B	469640104	516001137	Chr3B	497034882	544034120	263	0.9957186311787073
Chr3B	518913010	830611341	Chr3B	548826670	868245392	2626	0.9958480578827112
