cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr2D	34213	212930092	Chr2D	13458	215169210	2222	0.9986647164716473
Chr2D	215731966	223908849	Chr2D	218006207	226259852	13	0.9995384615384617
Chr2D	226334565	236124178	Chr2D	228679937	238336969	10	0.9995
Chr2D	238162860	265066747	Chr2D	240368154	267542923	45	0.9996888888888888
Chr2D	267698311	280652282	Chr2D	270324894	284107157	32	0.9993125
Chr2D	282927919	629734712	Chr2D	286259317	635638784	2987	0.9988014730498829
Chr2D	636190529	651496159	Chr2D	636405654	652536009	246	0.9979593495934959
Chr2D	629975817	635522009	Chr2D	652602169	658406566	99	0.9988383838383839
Chr2D	635595340	636098851	Chr2D	635798767	636305632	17	0.994470588235294
Chr2D	649565273	650660609	Chr2D	648676374	649793199	24	0.999875
