gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity	segment
gene:TraesCS3B02G000100	Chr3B	212892	214491	-	213691	Chr3B	2350567	2352108	+	2351337	0.963	0.919	collinear
gene:TraesCS3B02G000200	Chr3B	218045	222328	+	220186	Chr3B	2332197	2336545	-	2334371	0.993	0.947	collinear
gene:TraesCS3B02G000300	Chr3B	264854	267987	+	266420	Chr3B	2321934	2324839	-	2323386	0.981	0.92	collinear
gene:TraesCS3B02G000400	Chr3B	334498	337790	+	336144	Chr3B	2095229	2098502	-	2096865	1.0	0.996	collinear
gene:TraesCS3B02G000500	Chr3B	369389	373754	-	371571	Chr3B	1893243	1897660	+	1895451	0.994	0.984	collinear
gene:TraesCS3B02G000600	Chr3B	662656	666514	+	664585	Chr3B	1371386	1375242	-	1373314	0.993	0.956	collinear
gene:TraesCS3B02G000700	Chr3B	981835	986933	+	984384	Chr3B	1099830	1104922	-	1102376	0.992	0.922	collinear
gene:TraesCS3B02G001400	Chr3B	1462802	1463784	-	1463293	Chr3B	543817	544789	+	544303	0.958	0.904	collinear
gene:TraesCS3B02G001600	Chr3B	1586221	1588812	+	1587516	Chr3B	532269	534881	-	533575	0.967	0.906	collinear
gene:TraesCS3B02G001700	Chr3B	1610969	1611570	+	1611269	Chr3B	476041	476542	-	476291	0.985	0.965	collinear
gene:TraesCS3B02G001800	Chr3B	1612815	1613508	-	1613161	Chr3B	474083	474759	+	474421	0.966	0.919	collinear
gene:TraesCS3B02G002100	Chr3B	2092828	2094256	+	2093542	Chr3B	2514242	2515695	+	2514968	0.992	0.955	collinear
gene:TraesCS3B02G002500	Chr3B	2143432	2146356	-	2144894	Chr3B	2923179	2926098	+	2924638	1.0	0.976	collinear
gene:TraesCS3B02G002600	Chr3B	2160595	2163424	-	2162009	Chr3B	2900119	2902953	+	2901536	1.0	0.971	collinear
gene:TraesCS3B02G002700	Chr3B	2169304	2172368	-	2170836	Chr3B	2887368	2890480	+	2888924	0.996	0.909	collinear
gene:TraesCS3B02G002900	Chr3B	2255165	2257560	-	2256362	Chr3B	2853915	2856279	+	2855097	0.998	0.985	collinear
gene:TraesCS3B02G003100	Chr3B	2279401	2288008	+	2283704	Chr3B	2789934	2798333	-	2794133	0.982	0.926	collinear
gene:TraesCS3B02G003200	Chr3B	2296534	2299603	+	2298068	Chr3B	2774726	2777777	-	2776251	1.0	0.967	collinear
gene:TraesCS3B02G003400	Chr3B	2322937	2325102	+	2324019	Chr3B	2970508	2973040	+	2971774	1.0	0.939	collinear
gene:TraesCS3B02G003600	Chr3B	2344024	2346291	+	2345157	Chr3B	2996573	2999889	+	2998231	0.979	0.938	collinear
gene:TraesCS3B02G003900	Chr3B	2416243	2417270	-	2416756	Chr3B	3080718	3081733	-	3081225	0.993	0.962	collinear
gene:TraesCS3B02G004100	Chr3B	2474280	2477547	+	2475913	Chr3B	3052042	3055731	+	3053886	0.999	0.96	collinear
gene:TraesCS3B02G004600	Chr3B	2511286	2514918	+	2513102	Chr3B	3107739	3111409	+	3109574	0.999	0.967	collinear
gene:TraesCS3B02G004700	Chr3B	2516341	2521111	+	2518726	Chr3B	3115139	3120186	+	3117662	0.986	0.928	collinear
gene:TraesCS3B02G005400	Chr3B	3092002	3092337	-	3092169	Chr3B	3465095	3465433	+	3465264	1.0	0.955	collinear
gene:TraesCS3B02G005800	Chr3B	3225733	3228659	+	3227196	Chr3B	3540814	3543634	+	3542224	0.962	0.905	collinear
gene:TraesCS3B02G005900	Chr3B	3230720	3242659	+	3236689	Chr3B	3546647	3558489	+	3552568	0.982	0.956	collinear
gene:TraesCS3B02G006000	Chr3B	3259140	3262012	-	3260576	Chr3B	3645781	3648636	-	3647208	0.999	0.976	collinear
gene:TraesCS3B02G006100	Chr3B	3268840	3271894	+	3270367	Chr3B	3678064	3681047	+	3679555	0.965	0.922	collinear
gene:TraesCS3B02G006200	Chr3B	3273997	3281157	-	3277577	Chr3B	3687083	3694695	-	3690889	0.954	0.92	collinear
gene:TraesCS3B02G008100	Chr3B	4202094	4203405	+	4202749	Chr3B	4274207	4275490	-	4274848	0.988	0.955	collinear
gene:TraesCS3B02G008200	Chr3B	4206070	4206868	-	4206469	Chr3B	4269701	4270502	+	4270101	1.0	0.961	collinear
gene:TraesCS3B02G008600	Chr3B	4322974	4327039	+	4325006	Chr3B	4131779	4135848	-	4133813	0.979	0.917	collinear
gene:TraesCS3B02G008900	Chr3B	4334031	4334755	-	4334393	Chr3B	4124027	4124752	+	4124389	0.997	0.972	collinear
gene:TraesCS3B02G009000	Chr3B	4418072	4418989	-	4418530	Chr3B	4069103	4070021	+	4069562	1.0	0.993	collinear
gene:TraesCS3B02G009100	Chr3B	4420808	4421692	-	4421250	Chr3B	4066400	4067284	+	4066842	1.0	0.971	collinear
gene:TraesCS3B02G009400	Chr3B	4490335	4490736	-	4490535	Chr3B	4014502	4014903	+	4014702	1.0	0.977	collinear
gene:TraesCS3B02G009500	Chr3B	4513266	4520230	+	4516748	Chr3B	3988823	3990809	-	3989816	1.0	0.984	collinear
gene:TraesCS3B02G009700	Chr3B	4555982	4556578	+	4556280	Chr3B	3854465	3855061	-	3854763	1.0	0.981	collinear
gene:TraesCS3B02G009800	Chr3B	4562430	4564853	-	4563641	Chr3B	3840891	3843365	+	3842128	0.989	0.913	collinear
gene:TraesCS3B02G010000	Chr3B	4701881	4705257	+	4703569	Chr3B	4431021	4434398	-	4432709	0.984	0.916	collinear
gene:TraesCS3B02G010100	Chr3B	4743748	4747536	-	4745642	Chr3B	4414519	4417980	+	4416249	0.973	0.953	collinear
gene:TraesCS3B02G010300	Chr3B	4780520	4783479	+	4781999	Chr3B	4381286	4384331	-	4382808	0.99	0.929	collinear
gene:TraesCS3B02G010400	Chr3B	4785726	4787542	+	4786634	Chr3B	4377201	4379020	-	4378110	1.0	0.991	collinear
gene:TraesCS3B02G010600	Chr3B	4799215	4800229	-	4799722	Chr3B	4363690	4364716	+	4364203	0.991	0.942	collinear
gene:TraesCS3B02G010900	Chr3B	5075719	5076422	+	5076070	Chr3B	4225021	4225725	-	4225373	1.0	0.936	collinear
gene:TraesCS3B02G011200	Chr3B	5134029	5140986	-	5137507	Chr3B	4203407	4209821	+	4206614	0.956	0.931	collinear
gene:TraesCS3B02G011300	Chr3B	5169036	5170934	+	5169985	Chr3B	4513092	4515192	-	4514142	0.992	0.949	collinear
gene:TraesCS3B02G011500	Chr3B	5174134	5174921	+	5174527	Chr3B	4508170	4508957	-	4508563	1.0	0.96	collinear
