cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr3D	2910501	3824424	Chr3D	398283	1283055	22	0.9995909090909091
Chr3D	299594493	309084975	Chr3D	318098872	327528988	78	0.9997435897435898
Chr3D	314619116	324312558	Chr3D	302995658	312595097	36	0.9996944444444446
Chr3D	325803	116408326	Chr3D	1312874	120431346	1430	0.9989048951048951
Chr3D	118542402	193596645	Chr3D	122560964	197167006	420	0.9992380952380951
Chr3D	196947044	200390459	Chr3D	200459673	203876075	5	1.0
Chr3D	202614073	202651143	Chr3D	206324748	206361054	4	0.99925
Chr3D	206979095	213997235	Chr3D	210699031	217606864	11	0.9998181818181819
Chr3D	216425033	219568689	Chr3D	220020680	223131398	6	1.0
Chr3D	225525420	232470513	Chr3D	229227157	236114184	13	0.9993076923076922
Chr3D	234603090	244292283	Chr3D	238223588	248523236	13	0.9996153846153847
Chr3D	246327705	257173258	Chr3D	249320733	261333768	29	0.9994482758620689
Chr3D	259434941	298593191	Chr3D	263578954	302415068	139	0.9987841726618706
Chr3D	309654306	313930346	Chr3D	313276627	317533754	33	0.9999393939393941
Chr3D	324387385	492131921	Chr3D	328219341	494605995	1379	0.9991174764321972
Chr3D	494653889	597070607	Chr3D	497220649	603766607	1230	0.9980487804878048
Chr3D	597265266	601921720	Chr3D	606724184	614220931	16	0.9410625
Chr3D	603014865	605034911	Chr3D	616633481	620825560	15	0.9415333333333333
