cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr2A	254112	233473266	Chr2A	41317	229248168	2109	0.9964727358937884
Chr2A	255910505	256209030	Chr2A	251329914	251605333	4	0.998
Chr2A	278994740	281746218	Chr2A	273668087	276442247	5	0.9986
Chr2A	283944564	286439768	Chr2A	278696193	281281752	5	0.9966000000000002
Chr2A	288988301	293951072	Chr2A	283783793	288609688	7	0.9907142857142858
Chr2A	300399162	306682759	Chr2A	295422209	301830017	8	0.9970000000000001
Chr2A	309689781	311156927	Chr2A	304805364	306263491	3	0.9973333333333333
Chr2A	313209792	315039543	Chr2A	308929032	310813179	3	0.976
Chr2A	317947462	324619894	Chr2A	313658601	320390271	12	0.9946666666666668
Chr2A	330397956	334595264	Chr2A	326763508	330936644	9	0.9875555555555555
Chr2A	340608829	341927845	Chr2A	339606902	341150066	3	0.9983333333333334
Chr2A	349721260	350405869	Chr2A	350285682	350970939	3	0.9956666666666667
Chr2A	352426321	353475914	Chr2A	347119093	348158715	5	0.9949999999999999
Chr2A	364470917	366720526	Chr2A	359337557	361715793	6	0.9985
Chr2A	369216145	395710262	Chr2A	367556180	393399874	91	0.9963186813186814
Chr2A	398507174	398971793	Chr2A	397839089	398028767	3	0.9943333333333334
Chr2A	405468040	486499474	Chr2A	402913740	483318314	263	0.9963764258555134
Chr2A	488847564	547776466	Chr2A	485639152	543289698	315	0.9958920634920635
Chr2A	563768705	568484007	Chr2A	558973890	563666563	38	0.9986842105263158
Chr2A	582840575	760762714	Chr2A	578252809	758706699	1972	0.9967576064908721
Chr2A	770010489	773563132	Chr2A	766268322	768646536	32	0.99828125
Chr2A	775580590	775741838	Chr2A	765594603	766207523	5	0.9818
