cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr1B	712634	21805365	Chr1B	880562	22791533	278	0.9886330935251798
Chr1B	23817648	29492353	Chr1B	22908225	30368270	57	0.9912456140350877
Chr1B	31858804	76138867	Chr1B	32055666	77632173	320	0.994959375
Chr1B	80745914	85441230	Chr1B	82573666	87229086	16	0.99
Chr1B	87732453	218433567	Chr1B	89382960	219105604	583	0.9985969125214409
Chr1B	228174267	231332560	Chr1B	228108106	231237453	6	0.9983333333333334
Chr1B	239778311	243089038	Chr1B	244017775	246313686	6	0.9998333333333335
Chr1B	245942911	246982998	Chr1B	250251593	251279022	5	0.9996
Chr1B	250417821	289694136	Chr1B	253479699	295016290	117	0.9988205128205128
Chr1B	292342566	292422556	Chr1B	297651762	297730304	5	1.0
Chr1B	294946215	303677391	Chr1B	300228628	309020659	39	0.9943589743589742
Chr1B	307004229	317917199	Chr1B	309272396	323240123	44	0.9944772727272727
Chr1B	322108938	689851652	Chr1B	323945197	688862875	2751	0.9949360232642676
