cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	17984	140530403	1420	0.998762676056338
Chr4D	143579930	155648423	Chr4D	143189383	155184806	16	0.9908125000000001
Chr4D	163412513	183387226	Chr4D	162776813	182516366	27	0.9998888888888889
Chr4D	188710899	192736636	Chr4D	189115172	193105720	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	195377164	198849069	7	0.9997142857142858
Chr4D	201443437	212157624	Chr4D	202043513	213122709	28	0.99925
Chr4D	214312396	228145178	Chr4D	215225978	228953734	23	0.9998260869565219
Chr4D	230482531	238626311	Chr4D	231150889	239434720	11	0.9996363636363637
Chr4D	240933419	248933627	Chr4D	241725600	249706778	19	0.9995263157894737
Chr4D	251524682	256552996	Chr4D	252276783	257264588	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	259567332	261944295	6	0.9998333333333335
Chr4D	263946972	268074619	Chr4D	264620799	268691879	7	0.9982857142857142
Chr4D	270654719	329311457	Chr4D	271257993	329746117	243	0.9989958847736625
Chr4D	331638064	375735889	Chr4D	332052869	375704272	303	0.9996072607260725
Chr4D	377828182	410407878	Chr4D	377754145	410760556	237	0.9990421940928271
Chr4D	412715801	505554072	Chr4D	413159332	506331656	1072	0.999063432835821
Chr4D	432427899	432991637	Chr4D	438951638	439512727	7	1.0
