cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr4A	54108293	58349722	Chr4A	62917084	67254291	23	0.9972608695652174
Chr4A	76418229	78765803	Chr4A	67555462	69941357	15	0.9969333333333332
Chr4A	64957558	70810849	Chr4A	75557835	81262911	44	0.9926136363636363
Chr4A	246655838	246711649	Chr4A	253656517	253712151	7	0.9968571428571428
Chr4A	248831802	263897149	Chr4A	255850869	270745687	21	0.9995714285714288
Chr4A	270325461	282083530	Chr4A	293564213	306659757	16	0.99975
Chr4A	284630458	300457856	Chr4A	271643525	321340534	18	0.9989444444444445
Chr4A	306317948	314684131	Chr4A	278591465	286855010	54	0.9994259259259259
Chr4A	320272231	327753355	Chr4A	245797569	253175936	14	0.9977142857142857
Chr4A	82701	52611541	Chr4A	607583	52866341	566	0.9966360424028269
Chr4A	58513930	63099410	Chr4A	58211230	62752131	44	0.9934318181818184
Chr4A	71123925	75971067	Chr4A	70400271	75235532	40	0.9935500000000002
Chr4A	81276884	130504034	Chr4A	81631658	130371629	285	0.9968070175438596
Chr4A	132701921	192628546	Chr4A	132542787	192168587	262	0.9993358778625955
Chr4A	195313531	220022826	Chr4A	194830460	219341789	45	0.9979999999999999
Chr4A	222107768	222562036	Chr4A	221420621	221865060	3	1.0
Chr4A	225313869	227091476	Chr4A	224587993	226342546	4	0.99975
Chr4A	229493172	242884659	Chr4A	228782646	242114833	21	0.999904761904762
Chr4A	329170186	334268011	Chr4A	326758969	331951400	6	1.0
Chr4A	338745706	350244063	Chr4A	335917856	347193248	23	0.9997826086956522
Chr4A	352270324	353874280	Chr4A	349274216	350867694	4	1.0
Chr4A	356554191	359638234	Chr4A	353502330	356567130	6	1.0
Chr4A	362089683	363745630	Chr4A	358992170	360630373	4	1.0
Chr4A	373805571	387104269	Chr4A	370689324	383822862	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	385943606	387578471	3	1.0
Chr4A	395027325	398506001	Chr4A	391637326	395019416	6	1.0
Chr4A	400757887	401303656	Chr4A	397255403	397808221	3	0.999
Chr4A	407610912	420517232	Chr4A	404044557	416796474	17	0.9995882352941178
Chr4A	422761993	508494353	Chr4A	419017590	503883467	413	0.9979104116222759
Chr4A	510639254	592309344	Chr4A	506011556	586930448	691	0.9978552821997106
Chr4A	598762173	601366136	Chr4A	593202437	594992173	44	0.9852045454545455
Chr4A	606337979	641602625	Chr4A	600986116	635848489	482	0.9971576763485477
Chr4A	663280188	667425914	Chr4A	657878309	662708571	39	0.9909487179487179
Chr4A	687313081	689137270	Chr4A	686441828	688483653	13	0.9994615384615385
Chr4A	695805975	700736539	Chr4A	690808364	695484539	48	0.9994999999999999
Chr4A	592489107	598731354	Chr4A	595049751	600804370	143	0.9977972027972029
Chr4A	627775719	629115969	Chr4A	616775224	618033310	27	0.996037037037037
