cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr6A	57605	162912229	Chr6A	4876	159353387	1422	0.9920703234880451
Chr6A	166503285	172174207	Chr6A	162901318	168499770	30	0.9994333333333335
Chr6A	174450789	233957452	Chr6A	170722012	229698994	206	0.9985048543689321
Chr6A	241266065	242194840	Chr6A	236937254	237842792	3	1.0
Chr6A	248542355	252837117	Chr6A	244206872	248466062	8	1.0
Chr6A	254937051	261705155	Chr6A	250592448	257337557	21	0.9993333333333334
Chr6A	263891514	273262995	Chr6A	259504937	268998916	22	0.9984999999999999
Chr6A	276303162	290261504	Chr6A	272000987	288012211	20	0.9998000000000001
Chr6A	297918322	317154843	Chr6A	293552991	312616706	21	0.9997619047619049
Chr6A	321270304	324290097	Chr6A	316689548	319657077	8	0.9995
Chr6A	326393120	330049812	Chr6A	321732514	325380140	6	1.0
Chr6A	332183472	344185082	Chr6A	327496517	339407317	16	0.9955
Chr6A	346572929	346594380	Chr6A	341782984	341804435	3	1.0
Chr6A	351830716	353340072	Chr6A	347084183	348587303	4	0.999
Chr6A	355403353	526163009	Chr6A	350630951	521304538	864	0.9989375
Chr6A	528582629	615949471	Chr6A	522472470	610819106	1147	0.99571839581517
Chr6A	616339618	617928339	Chr6A	602652642	604337538	31	0.9976451612903225
