cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr6B	168584	701702	Chr6B	2237395	2628216	5	0.9480000000000001
Chr6B	3870829	29268942	Chr6B	49166	25413473	303	0.9847920792079208
Chr6B	31793559	103962989	Chr6B	27019480	99371842	626	0.9983418530351438
Chr6B	106468710	109142658	Chr6B	101863709	106798789	7	0.9997142857142858
Chr6B	111685641	240401733	Chr6B	106979841	235812453	733	0.9937462482946793
Chr6B	243269422	252842611	Chr6B	238716349	248349440	29	0.9978965517241379
Chr6B	255004953	262472341	Chr6B	250500357	258178479	30	0.9928
Chr6B	274210524	282983990	Chr6B	258910367	267406205	38	0.9945
Chr6B	286712737	290214602	Chr6B	271258865	275479778	17	0.9968823529411764
Chr6B	297428312	302596217	Chr6B	287048058	294944719	23	0.9940434782608696
Chr6B	317213268	319531354	Chr6B	303686005	305965908	3	0.9940000000000001
Chr6B	341712366	343111521	Chr6B	333199230	334570508	5	0.9952
Chr6B	369310389	376296463	Chr6B	357432327	364988731	12	0.9965833333333335
Chr6B	402215985	424306904	Chr6B	391797398	413028402	56	0.9959464285714287
Chr6B	430193107	441049080	Chr6B	414296985	424863234	50	0.9977800000000001
Chr6B	444540716	479000671	Chr6B	428279971	464981629	173	0.9964161849710982
Chr6B	493985493	500239317	Chr6B	480683004	487045899	31	0.9996129032258064
Chr6B	516078619	620708761	Chr6B	502109910	606345349	648	0.9973935185185184
Chr6B	622726250	626889431	Chr6B	608241288	612282313	33	0.9933333333333334
Chr6B	630465748	696921860	Chr6B	614781634	682837942	618	0.991948220064725
Chr6B	700954128	720953306	Chr6B	683418476	707527673	235	0.9834510638297872
