gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS6B02G037200	Chr6B	21785427	21789217	-	21787322	Chr6B	26492907	26496215	+	26494561	0.935	0.93	rearrangement:Chr6B_block2
gene:TraesCS6B02G037300	Chr6B	21872933	21873673	+	21873303	Chr6B	26408762	26409502	-	26409132	1.0	0.997	rearrangement:Chr6B_block2
gene:TraesCS6B02G037400	Chr6B	21909329	21912214	+	21910771	Chr6B	26363048	26365934	-	26364491	0.999	0.988	rearrangement:Chr6B_block2
gene:TraesCS6B02G037600	Chr6B	22081260	22105393	+	22093326	Chr6B	26207050	26225659	-	26216354	0.998	0.993	rearrangement:Chr6B_block2
gene:TraesCS6B02G037700	Chr6B	22172382	22172777	+	22172579	Chr6B	26131176	26131571	-	26131373	1.0	0.982	rearrangement:Chr6B_block2
gene:TraesCS6B02G037800	Chr6B	22425736	22426675	+	22426205	Chr6B	25868597	25869536	-	25869066	0.998	0.993	rearrangement:Chr6B_block2
gene:TraesCS6B02G037900	Chr6B	22426839	22426955	+	22426897	Chr6B	25868317	25868433	-	25868375	1.0	0.991	rearrangement:Chr6B_block2
gene:TraesCS6B02G038000	Chr6B	22427484	22428086	+	22427785	Chr6B	25867184	25867785	-	25867484	0.998	0.991	rearrangement:Chr6B_block2
gene:TraesCS6B02G038100	Chr6B	22552102	22556761	+	22554431	Chr6B	25742580	25747226	-	25744903	0.994	0.993	rearrangement:Chr6B_block2
gene:TraesCS6B02G038200	Chr6B	22556732	22559402	-	22558067	Chr6B	25739938	25742609	+	25741273	1.0	0.999	rearrangement:Chr6B_block2
gene:TraesCS6B02G038300	Chr6B	22715542	22719553	+	22717547	Chr6B	25597881	25601615	-	25599748	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B02G050000	Chr6B	29754360	29754859	+	29754609	Chr6B	17762575	17763074	-	17762824	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G050100	Chr6B	29756741	29757460	-	29757100	Chr6B	17759974	17760693	+	17760333	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G050200	Chr6B	29848933	29851678	-	29850305	Chr6B	17666133	17668878	+	17667505	1.0	1.0	rearrangement:Chr6B_block1
