cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr3B	2093542	6679086	Chr3B	8764397	13053110	99	0.9904545454545455
Chr3B	20003455	22473344	Chr3B	24316350	26899769	37	0.9955405405405405
Chr3B	26386129	46282085	Chr3B	29825342	54264285	188	0.9914946808510638
Chr3B	48668247	54613224	Chr3B	56540785	61298861	60	0.9933500000000001
Chr3B	56666860	85340142	Chr3B	61955830	91768890	281	0.994035587188612
Chr3B	87718232	191189469	Chr3B	94130366	197784526	598	0.9963311036789299
Chr3B	193960088	195100861	Chr3B	202317096	203484920	8	0.998
Chr3B	197792489	207735313	Chr3B	204554411	214454037	77	0.9953636363636362
Chr3B	212297313	215012163	Chr3B	219245067	221702098	11	0.9937272727272728
Chr3B	219342949	230195021	Chr3B	224905070	235658085	50	0.9903600000000001
Chr3B	235855911	240802715	Chr3B	243438914	248487508	46	0.9978695652173913
Chr3B	244624609	277099960	Chr3B	250145095	283076081	127	0.9942204724409449
Chr3B	283596077	284678121	Chr3B	289879300	290992052	4	0.9935
Chr3B	293745287	296187942	Chr3B	298850734	301587383	3	0.9969999999999999
Chr3B	299132814	309615956	Chr3B	305047730	317925945	15	0.9970000000000001
Chr3B	312893801	317625373	Chr3B	319584423	324987496	7	0.9942857142857143
Chr3B	322293448	338599491	Chr3B	329641422	346514093	24	0.9940833333333333
Chr3B	340796436	348489376	Chr3B	348711316	361450976	10	0.9938
Chr3B	362054603	367477711	Chr3B	369612771	375190929	12	0.9971666666666666
Chr3B	383712494	388105135	Chr3B	391998320	396315920	20	0.9975999999999999
Chr3B	423808426	425390047	Chr3B	435753578	437321426	8	0.993875
Chr3B	454643465	455510238	Chr3B	467115768	468040354	12	0.9978333333333333
Chr3B	519398673	817851754	Chr3B	528067270	827324386	2388	0.9937349246231156
Chr3B	821805362	830112470	Chr3B	827666445	835520545	95	0.9886315789473686
